,uid,zoom,year,child_0,child_1,child_2,child_3,child_4,child_ge5,pre_fam,empty_nest,retired,pre_s,early_s,pre_adol,adol,adult,fam_total
0,E01001,edist,2016,347,347,194,73,20,10,262,196,236,324,314,417,364,699,2812
1,E01002,edist,2016,120,100,78,22,10,1,82,82,76,98,107,124,120,267,956
2,E01003,edist,2016,39,30,45,21,6,1,16,38,24,19,82,74,61,168,482
3,E01004,edist,2016,82,99,71,46,11,4,40,58,66,70,120,224,143,275,996
4,E01005,edist,2016,13,24,20,11,5,1,2,12,12,21,30,22,70,90,259
5,E01006,edist,2016,22,28,19,11,4,1,8,18,18,38,18,28,51,105,284
6,E01007,edist,2016,57,60,43,28,8,2,32,44,38,65,91,87,112,175,644
7,E01008,edist,2016,60,57,60,38,11,3,28,58,34,73,105,127,168,166,759
8,E01009,edist,2016,26,21,28,13,3,0,8,22,22,22,40,60,38,89,301
9,E01010,edist,2016,28,12,16,15,4,0,8,26,22,17,28,43,37,66,247
10,E01011,edist,2016,25,28,30,15,5,3,14,20,16,16,86,53,54,108,367
11,E01012,edist,2016,91,74,78,43,8,2,30,78,74,90,119,113,160,294,958
12,E01013,edist,2016,40,39,46,18,9,3,16,34,30,40,61,102,69,175,527
13,E01014,edist,2016,46,44,51,27,12,1,32,40,20,68,100,99,96,158,613
14,E01015,edist,2016,36,32,22,20,3,4,12,20,40,43,41,40,82,115,393
15,E01016,edist,2016,26,25,30,12,2,1,14,22,16,24,61,52,36,89,314
16,E01017,edist,2016,81,82,69,28,9,1,24,72,66,54,118,121,133,252,840
17,E01018,edist,2016,33,36,49,20,5,1,14,32,20,61,99,73,86,104,489
18,E01019,edist,2016,1026,1153,1031,450,123,55,598,774,680,1341,1895,1966,2175,2784,12213
19,E01020,edist,2016,82,71,80,43,9,4,28,64,72,98,138,128,174,248,950
20,E01021,edist,2016,80,85,62,51,4,2,36,74,50,95,136,117,144,274,926
21,E01022,edist,2016,31,54,39,20,4,2,10,10,42,51,75,72,60,173,493
22,E01023,edist,2016,89,68,85,47,10,1,46,54,78,134,172,166,104,231,985
23,E01024,edist,2016,45,59,78,28,6,2,30,28,32,96,111,127,96,214,734
24,E01025,edist,2016,48,42,34,25,8,3,16,40,40,29,71,64,66,206,532
25,E01026,edist,2016,49,30,31,18,6,1,54,24,20,34,52,90,54,91,419
26,E01027,edist,2016,48,40,34,28,10,2,12,42,42,28,70,64,103,181,542
27,E01028,edist,2016,71,66,74,39,12,4,26,76,40,46,66,133,170,337,894
28,E01029,edist,2016,48,31,33,13,4,1,16,52,28,45,65,52,43,105,406
29,E01030,edist,2016,34,33,28,12,5,2,24,34,10,31,34,35,77,125,370
30,E01031,edist,2016,20,25,27,22,3,1,8,14,18,36,23,70,62,118,349
31,E01032,edist,2016,106,134,113,51,18,2,72,74,66,121,173,235,218,404,1363
32,E01033,edist,2016,60,43,45,24,9,1,20,48,52,33,69,67,97,200,586
33,E01034,edist,2016,187,263,180,97,19,3,66,168,140,199,328,341,326,764,2332
34,E01035,edist,2016,44,58,34,16,10,6,18,28,42,41,68,123,71,161,552
35,E01036,edist,2016,61,56,70,34,11,1,26,58,38,38,87,101,183,256,787
36,E01037,edist,2016,25,39,56,20,9,3,12,22,16,58,78,77,131,151,545
37,E01038,edist,2016,17,6,7,4,1,0,6,12,16,14,4,19,8,24,103
38,E01039,edist,2016,31,26,27,16,5,2,12,40,10,26,27,59,80,104,358
39,E01040,edist,2016,56,70,82,48,19,6,20,50,42,52,172,244,236,198,1014
40,E01041,edist,2016,18,17,24,9,7,1,12,8,16,33,29,51,49,70,268
41,E01042,edist,2016,25,38,41,21,7,2,16,18,16,36,38,78,85,184,471
42,E01043,edist,2016,44,37,35,19,6,1,16,50,22,51,36,64,74,145,458
43,E01044,edist,2016,39,27,32,14,8,1,22,30,26,35,75,82,37,92,399
44,E01045,edist,2016,43,25,35,14,3,1,16,28,42,22,39,60,79,101,387
45,E01046,edist,2016,51,32,54,14,11,1,24,46,32,70,84,43,103,139,541
46,E01047,edist,2016,75,64,41,19,5,0,34,68,48,83,72,75,87,135,602
47,E01048,edist,2016,241,317,310,135,32,6,178,174,130,451,640,554,559,650,3336
48,E01049,edist,2016,15,18,14,14,3,1,0,14,16,25,39,38,37,61,230
49,E01050,edist,2016,13,13,19,4,3,0,2,14,10,15,12,40,11,67,171
50,E01051,edist,2016,32,26,20,12,7,2,16,24,24,27,33,30,72,98,324
51,E01052,edist,2016,20,19,13,13,12,0,10,12,18,22,39,58,31,92,282
