,uid,zoom,year,ag_for_fish,build_construct,manufac,comm_trade,trans_coms,pub_admin,prof_ser,ind_other,ind_total
0,E01001,edist,2016,16,66,147,326,81,54,325,527,1542
1,E01002,edist,2016,3,30,42,87,28,13,81,259,543
2,E01003,edist,2016,44,15,32,54,7,12,55,29,248
3,E01004,edist,2016,40,36,59,93,25,14,68,78,413
4,E01005,edist,2016,19,5,13,29,1,6,14,19,106
5,E01006,edist,2016,27,11,16,38,7,7,23,20,149
6,E01007,edist,2016,38,18,32,68,21,15,57,37,286
7,E01008,edist,2016,25,27,41,57,7,21,73,53,304
8,E01009,edist,2016,21,15,19,28,7,8,24,14,136
9,E01010,edist,2016,11,6,18,27,8,4,23,25,122
10,E01011,edist,2016,23,9,21,35,11,12,52,11,174
11,E01012,edist,2016,27,25,42,101,26,25,113,45,404
12,E01013,edist,2016,41,13,25,47,13,20,58,29,246
13,E01014,edist,2016,18,25,47,56,14,11,72,46,289
14,E01015,edist,2016,20,14,25,38,8,4,35,21,165
15,E01016,edist,2016,18,8,29,33,9,6,41,17,161
16,E01017,edist,2016,29,15,45,96,16,13,99,68,381
17,E01018,edist,2016,9,11,30,60,13,19,56,23,221
18,E01019,edist,2016,70,243,651,1363,309,259,1283,1135,5313
19,E01020,edist,2016,22,37,54,101,24,28,105,53,424
20,E01021,edist,2016,40,33,50,80,23,25,102,77,430
21,E01022,edist,2016,39,17,41,34,15,7,48,20,221
22,E01023,edist,2016,45,34,58,108,28,11,89,77,450
23,E01024,edist,2016,30,17,65,59,11,12,67,47,308
24,E01025,edist,2016,38,18,47,42,13,11,55,26,250
25,E01026,edist,2016,32,15,24,40,11,15,41,23,201
26,E01027,edist,2016,19,12,26,65,5,15,58,27,227
27,E01028,edist,2016,23,30,57,102,19,18,105,48,402
28,E01029,edist,2016,16,11,32,39,15,5,44,33,195
29,E01030,edist,2016,27,10,37,39,13,3,44,22,195
30,E01031,edist,2016,19,2,23,42,16,8,43,11,164
31,E01032,edist,2016,79,45,100,145,45,36,165,88,703
32,E01033,edist,2016,24,7,34,58,23,17,64,28,255
33,E01034,edist,2016,14,36,193,242,64,53,192,185,979
34,E01035,edist,2016,32,20,29,37,8,7,47,32,212
35,E01036,edist,2016,33,29,50,75,24,23,88,29,351
36,E01037,edist,2016,44,15,24,50,12,12,54,23,234
37,E01038,edist,2016,15,4,7,12,1,5,12,5,61
38,E01039,edist,2016,24,11,29,38,5,8,32,16,163
39,E01040,edist,2016,31,27,71,111,22,27,99,54,442
40,E01041,edist,2016,18,9,15,28,4,7,23,10,114
41,E01042,edist,2016,31,11,36,46,11,10,53,30,228
42,E01043,edist,2016,25,5,39,39,12,10,46,26,202
43,E01044,edist,2016,30,11,23,40,11,11,34,20,180
44,E01045,edist,2016,23,13,17,44,9,7,42,14,169
45,E01046,edist,2016,22,13,44,72,7,17,48,45,268
46,E01047,edist,2016,32,25,43,104,28,23,67,54,376
47,E01048,edist,2016,130,81,240,341,54,69,242,325,1482
48,E01049,edist,2016,28,5,13,23,3,8,19,9,108
49,E01050,edist,2016,22,8,7,23,5,0,15,12,92
50,E01051,edist,2016,27,14,29,22,8,5,29,14,148
51,E01052,edist,2016,31,4,19,22,5,2,27,12,122
52,E01053,edist,2016,23,12,19,32,6,8,36,13,149
53,E01054,edist,2016,28,21,25,63,15,15,63,35,265
54,E02001,edist,2016,0,26,35,204,77,26,193,305,866
55,E02002,edist,2016,1,70,100,570,277,69,458,744,2289
56,E02003,edist,2016,3,49,108,833,483,88,506,708,2778
57,E02004,edist,2016,7,48,87,382,174,113,405,435,1651
58,E02005,edist,2016,2,31,74,483,251,121,496,400,1858
59,E02006,edist,2016,2,183,397,1664,807,399,1344,826,5622
60,E02007,edist,2016,2,63,72,355,152,133,358,167,1302
61,E02008,edist,2016,5,116,207,663,382,152,543,432,2500
62,E02009,edist,2016,0,57,70,301,159,79,396,478,1540
63,E02010,edist,2016,5,69,87,370,194,90,456,683,1954
64,E02011,edist,2016,2,67,78,386,199,90,452,337,1611
65,E02012,edist,2016,0,25,42,158,87,57,190,152,711
66,E02013,edist,2016,1,44,78,343,171,135,344,198,1314
67,E02014,edist,2016,1,34,76,307,158,84,279,184,1123
68,E02015,edist,2016,4,59,123,475,226,68,560,544,2059
69,E02016,edist,2016,1,38,94,270,131,45,312,506,1397
70,E02017,edist,2016,3,69,104,466,266,73,519,647,2147
71,E02018,edist,2016,0,24,35,140,76,27,201,267,770
72,E02019,edist,2016,0,20,46,160,89,95,166,59,635
73,E02020,edist,2016,1,43,78,284,117,94,286,146,1049
74,E02021,edist,2016,0,52,70,235,152,87,260,155,1011
75,E02022,edist,2016,3,82,115,440,227,126,654,427,2074
76,E02023,edist,2016,0,47,83,338,202,103,332,272,1377
77,E02024,edist,2016,1,41,63,261,143,101,249,121,980
78,E02025,edist,2016,2,42,56,206,107,78,224,118,833
79,E02026,edist,2016,4,85,91,396,211,147,477,218,1629
80,E02027,edist,2016,4,40,83,405,167,115,433,267,1514
81,E02028,edist,2016,0,48,102,502,199,146,509,294,1800
82,E02029,edist,2016,0,27,52,300,134,70,334,294,1211
83,E02030,edist,2016,4,81,111,658,311,232,763,894,3054
84,E02031,edist,2016,0,75,76,373,170,147,406,371,1618
85,E02032,edist,2016,1,79,87,475,215,118,482,620,2077
86,E02033,edist,2016,0,26,33,119,60,45,142,121,546
