T1_1AGE0_4T,Age 0 -4 Total
T1_1AGE5_9T,Age 5 -9 Total
T1_1AGE10_14T,Age 10 -14 Total
T1_1AGE15_19T,Age 15 -19 Total
T1_1AGE20_24T,Age 20 -24 Total
T1_1AGE25_29T,Age 25 -29 Total
T1_1AGE30_34T,Age 30 -34 Total
T1_1AGE35_39T,Age 35 -39 Total
T1_1AGE40_44T,Age 40 -44 Total
T1_1AGE45_49T,Age 45 -49 Total
T1_1AGE50_54T,Age 50 -54 Total
T1_1AGE55_59T,Age 55 -59 Total
T1_1AGE60_64T,Age 60 -64 Total
T1_1AGE65_69T,Age 65 -69 Total
T1_1AGE70_74T,Age 70 -74 Total
T1_1AGE75_79T,Age 75 -79 Total
T1_1AGE80_84T,Age 80 -84 Total
T1_1AGEGE_85T,Age 85+ Total
T1_1AGETT,Total Population
T1_2SGLT,Single Total
T1_2MART,Maried Total
T1_2SEPT,Separated Total
T1_2DIVT,Divorced Total
T1_2WIDT,Widowed Total
T1_2T,Total 
T2_1IEBP,Ireland Place of Birth
T2_1UKBP,UK Place of Birth
T2_1PLBP,Poland Place of Birth
T2_1LTBP,Lithuania Place of Birth
T2_1EUBP,Other EU 27 Place of Birth
T2_1RWBP,Rest of World Place of Birth
T2_1NSBP,Not stated Place of Birth
T2_1TBP,Total Place of Birth
T2_1IEN,Irish by Nationality
T2_1UKN,UK by Nationality
T2_1PLN,Polish by Nationality
T2_1LTN,Lithuanian by Nationality
T2_1EUN,Other EU 27 by Nationality
T2_1RWN,Rest of World by Nationality
T2_1NSN,Not Stated by Nationality
T2_1TN,Total by Nationality
T4_2_NCT,Families without children - Total
T4_2_1CT,Families with 1 child - Total
T4_2_2CT,Families with 2 children - Total
T4_2_3CT,Familes with 3 children - Total
T4_2_4CT,Families with 4 children - Total
T4_2_GE5T,Families with 5 or more children - Total
T4_5PFP,Pre-family (No of persons)
T4_5ENP,Empty Nest (No of persons)
T4_5RP,Retired (No of persons)
T4_5PSP,Pre-School (No of persons)
T4_5ESP,Early School (No of persons)
T4_5PAP,Pre-Adolescent (No of persons)
T4_5ADOP,Adolescent (No of persons)
T4_5ADUP,Adult (No of persons)
T4_5TP,Total (No of persons)
T5_1OP_H,One Person Households (No of households)
T5_1HW_H,Husband and Wife Households (No of households)
T5_1CC_H,Cohabiting Couple Households (No of households)
T5_1HWC_H,"Husband, Wife and Children Households (No of households)"
T5_1CCC_H,Cohabiting Couple and Children Households (No of households)
T5_1FC_H,Father and Children Households (No of households)
T5_1MC_H,Mother and Children Households (No of households)
T5_1CO_H,Couple and Others Households (No of households)
T5_1CCO_H,"Couple, Children and Others Households (No of households)"
T5_1FCO_H,"Father, Children and Others Households (No of households)"
T5_1MCO_H,"Mother, Children and Others Households (No of households)"
