,uid,zoom,desc
0,E01001,edist,Carlow Urban
1,E01002,edist,Graigue Urban
2,E01003,edist,Clonmore
3,E01004,edist,Hacketstown
4,E01005,edist,Haroldstown
5,E01006,edist,Kineagh
6,E01007,edist,Rahill
7,E01008,edist,Rathvilly
8,E01009,edist,Tiknock
9,E01010,edist,Williamstown
10,E01011,edist,Agha
11,E01012,edist,Ballinacarrig
12,E01013,edist,Ballintemple
13,E01014,edist,Ballon
14,E01015,edist,Ballyellin
15,E01016,edist,Ballymoon
16,E01017,edist,Borris
17,E01018,edist,Burton Hall
18,E01019,edist,Carlow Rural
19,E01020,edist,Clogrenan
20,E01021,edist,Clonegall
21,E01022,edist,Corries
22,E01023,edist,Cranemore
23,E01024,edist,Fennagh
24,E01025,edist,Garryhill
25,E01026,edist,Grangeford
26,E01027,edist,Johnstown
27,E01028,edist,Kellistown
28,E01029,edist,Kilbride
29,E01030,edist,Killedmond
30,E01031,edist,Killerrig
31,E01032,edist,Leighlinbridge
32,E01033,edist,Muinebeag (Bagenalstown) Rural
33,E01034,edist,Muinebeag (Bagenalstown) Urban
34,E01035,edist,Myshall
35,E01036,edist,Nurney
36,E01037,edist,Oldleighlin
37,E01038,edist,Rathanna
38,E01039,edist,Rathornan
39,E01040,edist,Rathrush
40,E01041,edist,Ridge
41,E01042,edist,Shangarry
42,E01043,edist,Sliguff
43,E01044,edist,Tankardstown
44,E01045,edist,Templepeter
45,E01046,edist,Tullowbeg
46,E01047,edist,Tullow Rural
47,E01048,edist,Tullow Urban
48,E01049,edist,Ballymurphy
49,E01050,edist,Coonogue
50,E01051,edist,Glynn
51,E01052,edist,Kyle
52,E01053,edist,Marley
53,E01054,edist,Tinnahinch
54,E02001,edist,Arran Quay A
55,E02002,edist,Arran Quay B
56,E02003,edist,Arran Quay C
57,E02004,edist,Arran Quay D
58,E02005,edist,Arran Quay E
59,E02006,edist,Ashtown A
60,E02007,edist,Ashtown B
61,E02008,edist,Ayrfield
62,E02009,edist,Ballybough A
63,E02010,edist,Ballybough B
64,E02011,edist,Ballygall A
65,E02012,edist,Ballygall B
66,E02013,edist,Ballygall C
67,E02014,edist,Ballygall D
68,E02015,edist,Ballymun A
69,E02016,edist,Ballymun B
70,E02017,edist,Ballymun C
71,E02018,edist,Ballymun D
72,E02019,edist,Ballymun E
73,E02020,edist,Ballymun F
74,E02021,edist,Beaumont A
75,E02022,edist,Beaumont B
76,E02023,edist,Beaumont C
77,E02024,edist,Beaumont D
78,E02025,edist,Beaumont E
79,E02026,edist,Beaumont F
80,E02027,edist,Botanic A
81,E02028,edist,Botanic B
82,E02029,edist,Botanic C
83,E02030,edist,Cabra East A
84,E02031,edist,Cabra East B
85,E02032,edist,Cabra East C
86,E02033,edist,Cabra West A
87,E02034,edist,Cabra West B
88,E02035,edist,Cabra West C
89,E02036,edist,Cabra West D
90,E02037,edist,Clontarf East A
91,E02038,edist,Clontarf East B
92,E02039,edist,Clontarf East C
93,E02040,edist,Clontarf East D
94,E02041,edist,Clontarf East E
95,E02042,edist,Clontarf West A
96,E02043,edist,Clontarf West B
97,E02044,edist,Clontarf West C
98,E02045,edist,Clontarf West D
99,E02046,edist,Clontarf West E
100,E02047,edist,Drumcondra South A
101,E02048,edist,Drumcondra South B
102,E02049,edist,Drumcondra South C
103,E02050,edist,Edenmore
104,E02051,edist,Finglas North A
105,E02052,edist,Finglas North B
106,E02053,edist,Finglas North C
107,E02054,edist,Finglas South A
108,E02055,edist,Finglas South B
109,E02056,edist,Finglas South C
110,E02057,edist,Finglas South D
111,E02058,edist,Grace Park
112,E02059,edist,Grange A
113,E02060,edist,Grange B
114,E02061,edist,Grange C
115,E02062,edist,Grange D
116,E02063,edist,Grange E
117,E02064,edist,Harmonstown A
118,E02065,edist,Harmonstown B
119,E02066,edist,Inns Quay A
120,E02067,edist,Inns Quay B
121,E02068,edist,Inns Quay C
122,E02069,edist,Kilmore A
123,E02070,edist,Kilmore B
124,E02071,edist,Kilmore C
125,E02072,edist,Kilmore D
126,E02073,edist,Mountjoy A
127,E02074,edist,Mountjoy B
128,E02075,edist,North City
129,E02076,edist,North Dock A
130,E02077,edist,North Dock B
131,E02078,edist,North Dock C
132,E02079,edist,Phoenix Park
133,E02080,edist,Priorswood A
134,E02081,edist,Priorswood B
135,E02082,edist,Priorswood C
136,E02083,edist,Priorswood D
137,E02084,edist,Priorswood E
138,E02085,edist,Raheny-Foxfield
139,E02086,edist,Raheny-Greendale
140,E02087,edist,Raheny-St. Assam
141,E02088,edist,Rotunda A
142,E02089,edist,Rotunda B
143,E02090,edist,Whitehall A
144,E02091,edist,Whitehall B
145,E02092,edist,Whitehall C
146,E02093,edist,Whitehall D
147,E02094,edist,Chapelizod
148,E02095,edist,Cherry Orchard A
149,E02096,edist,Carna
150,E02097,edist,Cherry Orchard C
151,E02098,edist,Crumlin A
152,E02099,edist,Crumlin B
153,E02100,edist,Crumlin C
154,E02101,edist,Crumlin D
155,E02102,edist,Crumlin E
156,E02103,edist,Crumlin F
157,E02104,edist,Decies
158,E02105,edist,Drumfinn
159,E02106,edist,Inchicore A
160,E02107,edist,Inchicore B
161,E02108,edist,Kilmainham A
162,E02109,edist,Kilmainham B
163,E02110,edist,Kilmainham C
164,E02111,edist,Kimmage A
165,E02112,edist,Kimmage B
166,E02113,edist,Kimmage C
167,E02114,edist,Kimmage D
168,E02115,edist,Kimmage E
169,E02116,edist,Kylemore
170,E02117,edist,Mansion House A
171,E02118,edist,Mansion House B
172,E02119,edist,Merchants Quay A
173,E02120,edist,Merchants Quay B
174,E02121,edist,Merchants Quay C
175,E02122,edist,Merchants Quay D
176,E02123,edist,Merchants Quay E
177,E02124,edist,Merchants Quay F
178,E02125,edist,Pembroke East A
179,E02126,edist,Pembroke East B
180,E02127,edist,Pembroke East C
181,E02128,edist,Pembroke East D
182,E02129,edist,Pembroke East E
183,E02130,edist,Pembroke West A
184,E02131,edist,Pembroke West B
185,E02132,edist,Pembroke West C
186,E02133,edist,Rathfarnham
187,E02134,edist,Rathmines East A
188,E02135,edist,Rathmines East B
189,E02136,edist,Rathmines East C
190,E02137,edist,Rathmines East D
191,E02138,edist,Rathmines West A
192,E02139,edist,Rathmines West B
193,E02140,edist,Rathmines West C
194,E02141,edist,Rathmines West D
195,E02142,edist,Rathmines West E
196,E02143,edist,Rathmines West F
197,E02144,edist,Royal Exchange A
198,E02145,edist,Royal Exchange B
199,E02146,edist,St. Kevin's
200,E02147,edist,South Dock
201,E02148,edist,Terenure A
202,E02149,edist,Terenure B
203,E02150,edist,Terenure C
204,E02151,edist,Terenure D
205,E02152,edist,Ushers A
206,E02153,edist,Ushers B
207,E02154,edist,Ushers C
208,E02155,edist,Ushers D
209,E02156,edist,Ushers E
210,E02157,edist,Ushers F
211,E02158,edist,Walkinstown A
212,E02159,edist,Walkinstown B
213,E02160,edist,Walkinstown C
214,E02161,edist,Wood Quay A
215,E02162,edist,Wood Quay B
216,E03001,edist,Ballinascorney
217,E03002,edist,Ballyboden
218,E03003,edist,Bohernabreena
219,E03004,edist,Clondalkin-Ballymount
220,E03005,edist,Clondalkin-Cappaghmore
221,E03006,edist,Clondalkin-Dunawley
222,E03007,edist,Clondalkin-Monastery
223,E03008,edist,Clondalkin-Moorfield
224,E03009,edist,Clondalkin-Rowlagh
225,E03010,edist,Clondalkin Village
226,E03011,edist,Edmondstown
227,E03012,edist,Firhouse-Ballycullen
228,E03013,edist,Firhouse-Knocklyon
229,E03014,edist,Firhouse Village
230,E03015,edist,Lucan-Esker
231,E03016,edist,Lucan Heights
232,E03017,edist,Lucan-St. Helen's
233,E03018,edist,Newcastle
234,E03019,edist,Palmerston Village
235,E03020,edist,Palmerston West
236,E03021,edist,Rathcoole
237,E03022,edist,Rathfarnham-Ballyroan
238,E03023,edist,Rathfarnham-Butterfield
239,E03024,edist,Rathfarnham-Hermitage
240,E03025,edist,Rathfarnham-St. Enda's
241,E03026,edist,Rathfarnham Village
242,E03027,edist,Saggart
243,E03028,edist,Tallaght-Avonbeg
244,E03029,edist,Tallaght-Belgard
245,E03030,edist,Tallaght-Fettercairn
246,E03031,edist,Tallaght-Glenview
247,E03032,edist,Tallaght-Jobstown
248,E03033,edist,Tallaght-Killinardan
249,E03034,edist,Tallaght-Kilnamanagh
250,E03035,edist,Tallaght-Kiltipper
251,E03036,edist,Tallaght-Kingswood
252,E03037,edist,Tallaght-Millbrook
253,E03038,edist,Tallaght-Oldbawn
254,E03039,edist,Tallaght-Springfield
255,E03040,edist,Tallaght-Tymon
256,E03041,edist,Templeogue-Cypress
257,E03042,edist,Templeogue-Kimmage Manor
258,E03043,edist,Templeogue-Limekiln
259,E03044,edist,Templeogue-Orwell
260,E03045,edist,Templeogue-Osprey
261,E03046,edist,Templeogue Village
262,E03047,edist,Terenure-Cherryfield
263,E03048,edist,Terenure-Greentrees
264,E03049,edist,Terenure-St. James
265,E04001,edist,Airport
266,E04002,edist,Balbriggan Rural
267,E04003,edist,Balbriggan Urban
268,E04004,edist,Baldoyle
269,E04005,edist,Balgriffin
270,E04006,edist,Ballyboghil
271,E04007,edist,Balscadden
272,E04008,edist,Blanchardstown-Abbotstown
273,E04009,edist,Blanchardstown-Blakestown
274,E04010,edist,Blanchardstown-Coolmine
275,E04011,edist,Blanchardstown-Corduff
276,E04012,edist,Blanchardstown-Delwood
277,E04013,edist,Blanchardstown-Mulhuddart
278,E04014,edist,Blanchardstown-Roselawn
279,E04015,edist,Blanchardstown-Tyrrelstown
280,E04016,edist,Castleknock-Knockmaroon
281,E04017,edist,Castleknock-Park
282,E04018,edist,Clonmethan
283,E04019,edist,Donabate
284,E04020,edist,Dubber
285,E04021,edist,Garristown
286,E04022,edist,Hollywood
287,E04023,edist,Holmpatrick
288,E04024,edist,Howth
289,E04025,edist,Kilsallaghan
290,E04026,edist,Kinsaley
291,E04027,edist,Lucan North
292,E04028,edist,Lusk
293,E04029,edist,Malahide East
294,E04030,edist,Malahide West
295,E04031,edist,Portmarnock North
296,E04032,edist,Portmarnock South
297,E04033,edist,Rush
298,E04034,edist,Skerries
299,E04035,edist,Sutton
300,E04036,edist,Swords-Forrest
301,E04037,edist,Swords-Glasmore
302,E04038,edist,Swords-Lissenhall
303,E04039,edist,Swords-Seatown
304,E04040,edist,Swords Village
305,E04041,edist,The Ward
306,E04042,edist,Turnapin
307,E05001,edist,Ballinteer-Broadford
308,E05002,edist,Ballinteer-Ludford
309,E05003,edist,Ballinteer-Marley
310,E05004,edist,Ballinteer-Meadowbroads
311,E05005,edist,Ballinteer-Meadowmount
312,E05006,edist,Ballinteer-Woodpark
313,E05007,edist,Ballybrack
314,E05008,edist,Blackrock-Booterstown
315,E05009,edist,Blackrock-Carysfort
316,E05010,edist,Blackrock-Central
317,E05011,edist,Blackrock-Glenomena
318,E05012,edist,Blackrock-Monkstown
319,E05013,edist,Blackrock-Newpark
320,E05014,edist,Blackrock-Seapoint
321,E05015,edist,Blackrock-Stradbrook
322,E05016,edist,Blackrock-Templehill
323,E05017,edist,Blackrock-Williamstown
324,E05018,edist,Cabinteely-Granitefield
325,E05019,edist,Cabinteely-Kilbogget
326,E05020,edist,Cabinteely-Loughlinstown
327,E05021,edist,Cabinteely-Pottery
328,E05022,edist,Churchtown-Castle
329,E05023,edist,Churchtown-Landscape
330,E05024,edist,Churchtown-Nutgrove
331,E05025,edist,Churchtown-Orwell
332,E05026,edist,Churchtown-Woodlawn
333,E05027,edist,Clonskeagh-Belfield
334,E05028,edist,Clonskeagh-Farranboley
335,E05029,edist,Clonskeagh-Milltown
336,E05030,edist,Clonskeagh-Roebuck
337,E05031,edist,Clonskeagh-Windy Arbour
338,E05032,edist,Dalkey-Avondale
339,E05033,edist,Dalkey-Bullock
340,E05034,edist,Dalkey-Coliemore
341,E05035,edist,Dalkey Hill
342,E05036,edist,Dalkey Upper
343,E05037,edist,Dundrum-Balally
344,E05038,edist,Dundrum-Kilmacud
345,E05039,edist,Dundrum-Sandyford
346,E05040,edist,Dundrum-Sweetmount
347,E05041,edist,Dundrum-Taney
348,E05042,edist,Dún Laoghaire-East Central
349,E05043,edist,Dún Laoghaire-Glasthule
350,E05044,edist,Dún Laoghaire-Glenageary
351,E05045,edist,Dún Laoghaire-Monkstown Farm
352,E05046,edist,Dún Laoghaire-Mount Town
353,E05047,edist,Dún Laoghaire-Sallynoggin East
354,E05048,edist,Dún Laoghaire-Sallynoggin South
355,E05049,edist,Dún Laoghaire-Sallynoggin West
356,E05050,edist,Dún Laoghaire-Sandycove
357,E05051,edist,Dún Laoghaire-Salthill
358,E05052,edist,Dún Laoghaire-West Central
359,E05053,edist,Foxrock-Beechpark
360,E05054,edist,Foxrock-Carrickmines
361,E05055,edist,Foxrock-Deans Grange
362,E05056,edist,Foxrock-Torquay
363,E05057,edist,Glencullen
364,E05058,edist,Killiney North
365,E05059,edist,Killiney South
366,E05060,edist,Shankill-Rathmichael
367,E05061,edist,Shankill-Rathsallagh
368,E05062,edist,Shankill-Shanganagh
369,E05063,edist,Stillorgan-Deerpark
370,E05064,edist,Stillorgan-Kilmacud
371,E05065,edist,Stillorgan-Leopardstown
372,E05066,edist,Stillorgan-Merville
373,E05067,edist,Stillorgan-Mount Merrion
374,E05068,edist,Stillorgan-Priory
375,E05069,edist,Tibradden
376,E06001,edist,Athy East Urban
377,E06002,edist,Athy West Urban
378,E06003,edist,Naas Urban
379,E06004,edist,Athy Rural
380,E06005,edist,Ballaghmoon
381,E06006,edist,Ballitore
382,E06007,edist,Ballybrackan
383,E06008,edist,Ballyshannon
384,E06009,edist,Belan
385,E06010,edist,Bert
386,E06011,edist,Burtown
387,E06012,edist,Carrigeen
388,E06013,edist,Castledermot
389,E06014,edist,Churchtown
390,E06015,edist,Dunmanoge
391,E06016,edist,Fontstown
392,E06017,edist,Graney
393,E06018,edist,Grangemellon
394,E06019,edist,Harristown
395,E06020,edist,Inchaquire
396,E06021,edist,Johnstown
397,E06022,edist,Kilberry
398,E06023,edist,Kildangan
399,E06024,edist,Kilkea
400,E06025,edist,Kilrush
401,E06026,edist,Lackagh
402,E06027,edist,Monasterevin
403,E06028,edist,Moone
404,E06029,edist,Narraghmore
405,E06030,edist,Nurney
406,E06031,edist,Quinsborough
407,E06032,edist,Skerries
408,E06033,edist,Balraheen
409,E06034,edist,Celbridge
410,E06035,edist,Cloncurry
411,E06036,edist,Donadea
412,E06037,edist,Donaghcumper
413,E06038,edist,Kilcock
414,E06039,edist,Leixlip
415,E06040,edist,Maynooth
416,E06041,edist,Straffan
417,E06042,edist,Ballynadrumny
418,E06043,edist,Cadamstown
419,E06044,edist,Carbury
420,E06045,edist,Carrick
421,E06046,edist,Cloncurry
422,E06047,edist,Drehid
423,E06048,edist,Dunfierth
424,E06049,edist,Killinthomas
425,E06050,edist,Kilpatrick
426,E06051,edist,Kilrainy
427,E06052,edist,Lullymore
428,E06053,edist,Rathangan
429,E06054,edist,Thomastown
430,E06055,edist,Windmill Cross
431,E06056,edist,Ballymore Eustace
432,E06057,edist,Ballysax East
433,E06058,edist,Ballysax West
434,E06059,edist,Bodenstown
435,E06060,edist,Carnalway
436,E06061,edist,Carragh
437,E06062,edist,Clane
438,E06063,edist,Donore
439,E06064,edist,Downings
440,E06065,edist,Droichead Nua (Newbridge) Rural
441,E06066,edist,Droichead Nua (Newbridge) Urban
442,E06067,edist,Dunmurry
443,E06068,edist,Feighcullen
444,E06069,edist,Gilltown
445,E06070,edist,Kilcullen
446,E06071,edist,Kildare
447,E06072,edist,Kill
448,E06073,edist,Killashee
449,E06074,edist,Kilmeage North
450,E06075,edist,Kilmeage South
451,E06076,edist,Kilteel
452,E06077,edist,Ladytown
453,E06078,edist,Morristownbiller
454,E06079,edist,Naas Rural
455,E06080,edist,Newtown
456,E06081,edist,Oldconnell
457,E06082,edist,Oughterard
458,E06083,edist,Pollardstown
459,E06084,edist,Rathernan
460,E06085,edist,Rathmore
461,E06086,edist,Robertstown
462,E06087,edist,Timahoe North
463,E06088,edist,Timahoe South
464,E06089,edist,Usk
465,E07001,edist,Kilkenny No. 1 Urban
466,E07002,edist,Kilkenny No. 2 Urban
467,E07003,edist,Burnchurch
468,E07004,edist,Callan Rural
469,E07005,edist,Callan Urban
470,E07006,edist,Coolaghmore
471,E07007,edist,Dunamaggan
472,E07008,edist,Earlstown
473,E07009,edist,Kells
474,E07010,edist,Killamery
475,E07011,edist,Kilmaganny
476,E07012,edist,Kilmanagh
477,E07013,edist,Mallardstown
478,E07014,edist,Scotsborough
479,E07015,edist,Tullaghanbrogue
480,E07016,edist,Boolyglass
481,E07017,edist,Fiddown
482,E07018,edist,Muckalee
483,E07019,edist,Pilltown
484,E07020,edist,Templeorum
485,E07021,edist,Tubbrid
486,E07022,edist,Tullahought
487,E07023,edist,Whitechurch
488,E07024,edist,Attanagh
489,E07025,edist,Ballyragget
490,E07026,edist,Castlecomer
491,E07027,edist,Clogh
492,E07028,edist,Clogharinka
493,E07029,edist,Kilmacar
494,E07030,edist,Moneenroe
495,E07031,edist,Mothell
496,E07032,edist,Muckalee
497,E07033,edist,Brownsford
498,E07034,edist,Dysartmoon
499,E07035,edist,Jerpoint West
500,E07036,edist,Listerlin
501,E07037,edist,Rosbercon Rural
502,E07038,edist,Shanbogh
503,E07039,edist,The Rower
504,E07040,edist,Ballinamara
505,E07041,edist,Ballybeagh
506,E07042,edist,Ballycallan
507,E07043,edist,Clara
508,E07044,edist,Coolcraheen
509,E07045,edist,Dunbell
510,E07046,edist,Dunmore
511,E07047,edist,Freshford
512,E07048,edist,Gowran
513,E07049,edist,Grange
514,E07050,edist,Kilkenny Rural
515,E07051,edist,Kilkieran
516,E07052,edist,Odagh
517,E07053,edist,Outrath
518,E07054,edist,Paulstown
519,E07055,edist,Rathcoole
520,E07056,edist,Rathealy
521,E07057,edist,St. Canice
522,E07058,edist,Shankill
523,E07059,edist,Tiscoffin
524,E07060,edist,Tullaroan
525,E07061,edist,Aghaviller
526,E07062,edist,Ballyhale
527,E07063,edist,Ballyvool
528,E07064,edist,Bennettsbridge
529,E07065,edist,Bramblestown
530,E07066,edist,Castlebanny
531,E07067,edist,Castlegannon
532,E07068,edist,Coolhill
533,E07069,edist,Danesfort
534,E07070,edist,Ennisnag
535,E07071,edist,Famma
536,E07072,edist,Freaghana
537,E07073,edist,Goresbridge
538,E07074,edist,Graiguenamanagh
539,E07075,edist,Inistioge
540,E07076,edist,Jerpoint Church
541,E07077,edist,Kilfane
542,E07078,edist,Kilkeasy
543,E07079,edist,Kiltorcan
544,E07080,edist,Knocktopher
545,E07081,edist,Pleberstown
546,E07082,edist,Powerstown
547,E07083,edist,Stonyford
548,E07084,edist,Thomastown
549,E07085,edist,Tullaherin
550,E07086,edist,Ullard
551,E07087,edist,Woolengrange
552,E07088,edist,Balleen
553,E07089,edist,Ballyconra
554,E07090,edist,Baunmore
555,E07091,edist,Clomantagh
556,E07092,edist,Galmoy
557,E07093,edist,Glashare
558,E07094,edist,Johnstown
559,E07095,edist,Lisdowney
560,E07096,edist,Rathbeagh
561,E07097,edist,Tubbridbrittain
562,E07098,edist,Urlingford
563,E07099,edist,Aglish
564,E07100,edist,Ballincrea
565,E07101,edist,Dunkitt
566,E07102,edist,Farnoge
567,E07103,edist,Kilbeacon
568,E07104,edist,Kilbride
569,E07105,edist,Kilcolumb
570,E07106,edist,Kilculliheen (part)
571,E07107,edist,Killahy
572,E07108,edist,Kilmakevoge
573,E07109,edist,Pollrone
574,E07110,edist,Portnascully
575,E07111,edist,Rathpatrick
