,uid,zoom,year,house_bung,apart,bedsit,caravan,type_ns,type_total_hh,l1919,b19_45,b46_60,b61_70,b71_80,b81_90,b91_00,b01_10,g11,h_age_ns,h_age_total_hh,oo_wm,oo_wom,rent_pl,rent_la,rent_vol,rent_free,occu_ns,occu_total_hh,rooms_1,rooms_2,rooms_3,rooms_4,rooms_5,rooms_6,rooms_7,rooms_ge8,rooms_ns,rooms_total_hh,occupied,temp_unoc,unoc_hol,unoccupied
0,E01001,edist,2016,1364,558,6,1,77,2006,171,180,228,183,223,99,294,306,25,296,2005,233,561,623,348,17,41,182,2005,42,219,316,289,456,226,108,116,233,2005,2041,60,1,313
1,E01002,edist,2016,451,129,1,1,28,610,26,73,161,41,27,38,58,74,1,110,609,84,234,86,73,4,12,116,609,6,36,71,59,178,87,31,12,129,609,609,14,7,117
2,E01003,edist,2016,181,0,1,1,2,185,45,12,4,8,21,16,21,49,2,6,184,66,99,9,2,0,3,5,184,2,2,7,22,37,34,29,45,6,184,185,3,9,26
3,E01004,edist,2016,379,7,0,3,9,398,46,33,35,32,42,42,41,98,8,18,395,117,162,32,67,2,6,9,395,2,16,39,56,112,57,47,43,23,395,396,10,9,46
4,E01005,edist,2016,96,1,0,0,3,100,17,12,6,2,3,5,20,28,3,4,100,40,51,2,1,1,2,3,100,0,3,6,5,25,29,15,12,5,100,100,1,0,10
5,E01006,edist,2016,118,0,0,0,2,120,29,10,10,5,4,10,10,36,2,4,120,38,65,7,1,0,4,5,120,1,1,4,7,19,38,17,28,5,120,120,1,0,17
6,E01007,edist,2016,247,3,0,0,3,253,24,18,11,6,14,22,27,118,6,7,253,106,112,20,6,1,5,3,253,0,3,13,21,44,66,57,44,5,253,255,2,5,34
7,E01008,edist,2016,302,4,0,0,5,311,43,12,17,13,35,32,38,107,5,9,311,97,113,36,42,14,7,2,311,1,5,42,31,102,51,36,33,10,311,311,6,8,31
8,E01009,edist,2016,109,0,0,1,2,112,17,8,2,4,14,12,17,35,1,1,111,46,54,4,3,0,2,2,111,0,1,5,12,18,28,13,28,6,111,113,2,1,14
9,E01010,edist,2016,101,0,0,0,0,101,26,4,5,4,10,7,13,25,1,6,101,40,47,4,4,0,3,3,101,0,1,5,8,25,18,13,25,6,101,101,7,5,17
10,E01011,edist,2016,125,0,0,1,3,129,19,8,6,3,11,14,13,47,5,2,128,73,47,4,1,0,2,1,128,0,0,6,9,20,30,34,23,6,128,128,3,2,7
11,E01012,edist,2016,343,9,0,1,3,356,33,18,15,12,43,40,65,104,8,17,355,126,166,37,12,0,10,4,355,0,6,17,19,69,67,57,107,13,355,356,13,4,15
12,E01013,edist,2016,195,0,0,0,2,197,33,20,12,4,11,28,27,48,8,6,197,69,101,11,9,0,4,3,197,0,3,12,17,45,43,29,39,9,197,197,1,8,9
13,E01014,edist,2016,219,6,0,1,11,237,25,8,9,4,16,18,20,110,3,23,236,92,73,33,16,1,6,15,236,1,8,14,17,64,63,22,34,13,236,237,4,1,15
14,E01015,edist,2016,147,0,0,1,1,149,28,10,18,8,12,14,22,30,4,2,148,53,81,8,2,0,1,3,148,0,2,7,9,29,43,28,25,5,148,148,2,1,10
15,E01016,edist,2016,116,1,0,0,1,118,18,12,4,6,9,10,17,37,4,1,118,56,55,4,1,0,1,1,118,0,1,9,9,19,27,24,28,1,118,119,0,0,10
16,E01017,edist,2016,348,6,0,3,4,361,73,24,12,21,45,39,52,72,10,10,358,84,161,42,41,14,9,7,358,1,7,36,28,103,54,48,63,18,358,361,10,21,50
17,E01018,edist,2016,165,1,0,1,1,168,15,12,3,4,12,13,24,79,4,1,167,93,57,9,5,0,2,1,167,0,3,11,17,24,25,46,36,5,167,167,1,0,9
18,E01019,edist,2016,4924,171,4,7,101,5207,41,60,186,358,642,658,1167,1513,70,505,5200,1575,1442,1175,672,108,56,172,5200,38,133,566,473,1648,893,622,537,290,5200,5239,173,10,274
19,E01020,edist,2016,337,0,0,7,8,352,33,26,20,18,39,24,18,151,9,7,345,166,132,12,19,0,11,5,345,1,4,26,39,85,74,57,42,17,345,345,8,0,24
20,E01021,edist,2016,345,1,0,0,6,352,59,10,15,11,36,32,57,113,9,10,352,125,158,33,20,0,9,7,352,1,3,26,40,91,56,57,66,12,352,353,13,27,27
21,E01022,edist,2016,182,0,1,3,1,187,36,16,12,8,16,14,26,47,6,3,184,70,98,4,3,0,7,2,184,0,1,4,18,36,43,34,42,6,184,185,0,1,13
22,E01023,edist,2016,350,24,0,4,8,386,53,11,14,13,48,25,39,150,14,15,382,118,157,68,19,0,8,12,382,2,12,29,31,73,75,75,67,18,382,387,4,5,35
23,E01024,edist,2016,257,4,0,0,5,266,57,19,7,2,22,10,25,110,7,7,266,118,86,33,19,1,6,3,266,1,3,18,26,86,57,32,32,11,266,267,3,1,26
24,E01025,edist,2016,197,3,0,0,2,202,47,10,13,6,19,30,29,40,6,2,202,70,111,10,5,0,2,4,202,1,4,12,15,37,45,29,48,11,202,203,7,3,34
25,E01026,edist,2016,181,0,1,1,0,183,25,9,8,9,20,15,16,80,0,0,182,56,65,51,4,0,6,0,182,2,2,18,17,49,27,24,37,6,182,182,1,2,16
26,E01027,edist,2016,198,1,0,0,0,199,32,14,13,9,25,20,36,35,8,7,199,76,100,8,5,0,4,6,199,0,1,11,10,33,38,31,67,8,199,199,5,0,11
27,E01028,edist,2016,334,3,0,1,3,341,35,16,12,22,56,37,62,85,7,8,340,124,153,21,30,1,5,6,340,5,10,21,31,64,61,54,85,9,340,340,12,2,21
28,E01029,edist,2016,148,1,0,0,1,150,28,10,13,5,17,13,14,40,3,7,150,57,68,14,5,0,3,3,150,1,2,7,10,28,24,26,42,10,150,152,1,2,12
29,E01030,edist,2016,138,0,0,2,2,142,36,13,7,4,9,10,24,33,4,0,140,50,73,8,3,0,4,2,140,0,2,5,7,34,38,28,21,5,140,140,5,17,15
30,E01031,edist,2016,114,0,0,1,0,115,13,6,8,5,6,16,25,31,3,1,114,48,58,4,0,0,2,2,114,1,2,2,4,13,20,23,44,5,114,115,1,1,2
31,E01032,edist,2016,573,32,1,2,0,608,60,66,44,22,57,46,88,194,22,7,606,168,266,74,56,20,11,11,606,3,23,54,67,167,113,76,92,11,606,608,16,8,70
32,E01033,edist,2016,219,0,0,1,6,226,33,22,8,6,37,26,44,33,4,12,225,75,128,15,0,1,3,3,225,1,2,8,23,36,54,46,42,13,225,226,5,6,17
33,E01034,edist,2016,983,64,2,0,25,1074,93,132,98,80,121,97,92,272,19,70,1074,249,403,131,209,40,19,23,1074,9,56,131,141,406,155,65,57,54,1074,1075,35,8,85
34,E01035,edist,2016,192,0,0,0,10,202,20,13,7,6,29,11,13,94,3,6,202,75,87,10,21,0,2,7,202,1,3,12,22,45,45,36,29,9,202,202,6,3,13
35,E01036,edist,2016,279,1,0,4,2,286,43,20,14,14,25,30,48,67,12,9,282,99,145,15,10,0,7,6,282,0,2,16,21,47,63,49,70,14,282,282,4,4,19
36,E01037,edist,2016,191,2,1,0,0,194,30,6,8,2,25,13,25,75,9,1,194,77,87,14,8,0,8,0,194,0,6,8,17,44,34,43,39,3,194,196,4,1,13
37,E01038,edist,2016,49,0,0,1,1,51,21,3,0,0,3,4,3,12,2,2,50,17,27,2,0,0,3,1,50,0,1,2,4,8,11,11,11,2,50,51,1,7,9
38,E01039,edist,2016,123,0,0,3,0,126,24,12,9,2,11,15,21,23,5,1,123,46,67,1,6,0,3,0,123,0,1,7,11,19,25,26,32,2,123,123,4,1,8
39,E01040,edist,2016,323,3,0,3,9,338,35,17,23,7,30,14,30,155,7,17,335,179,112,18,10,0,4,12,335,1,1,16,18,59,65,59,96,20,335,336,4,3,33
40,E01041,edist,2016,86,1,0,4,0,91,14,5,4,1,7,7,12,32,4,1,87,42,34,6,2,0,2,1,87,1,2,5,9,18,19,7,24,2,87,87,2,0,14
41,E01042,edist,2016,161,1,0,0,7,169,26,12,11,6,16,20,12,49,9,8,169,70,80,10,2,0,1,6,169,0,2,8,12,26,41,33,39,8,169,169,1,5,15
42,E01043,edist,2016,172,0,0,1,4,177,44,10,7,7,16,23,15,48,3,3,176,64,90,9,8,0,4,1,176,1,0,4,9,39,45,30,40,8,176,176,3,5,13
43,E01044,edist,2016,140,1,0,1,1,143,26,12,8,4,12,14,17,37,7,5,142,59,65,6,2,1,3,6,142,0,1,7,9,13,30,31,41,10,142,142,2,0,25
44,E01045,edist,2016,142,1,0,1,2,146,30,7,6,9,8,14,25,41,4,1,145,68,64,3,2,0,6,2,145,0,1,7,18,24,25,26,39,5,145,145,4,2,13
45,E01046,edist,2016,192,1,0,0,3,196,23,23,10,9,15,11,22,73,5,5,196,82,81,16,11,0,3,3,196,1,2,16,18,43,49,24,35,8,196,196,5,0,11
46,E01047,edist,2016,255,1,0,0,3,259,30,14,12,5,25,19,35,96,9,14,259,80,111,54,3,1,6,4,259,0,12,8,30,35,53,40,75,6,259,263,8,31,28
47,E01048,edist,2016,1327,95,3,0,44,1469,56,68,99,89,134,100,172,572,31,148,1469,387,350,281,308,67,21,55,1469,21,57,230,220,470,195,116,64,96,1469,1469,33,22,134
48,E01049,edist,2016,90,0,0,1,1,92,25,10,3,2,4,6,3,36,1,1,91,30,51,6,1,0,2,1,91,0,1,4,13,10,29,14,18,2,91,93,2,3,14
49,E01050,edist,2016,73,0,1,2,0,76,28,8,1,1,3,5,5,17,5,1,74,24,43,3,3,0,1,0,74,0,1,5,9,16,17,12,11,3,74,74,0,3,5
50,E01051,edist,2016,127,0,0,3,0,130,36,10,8,9,8,10,9,31,3,3,127,32,80,9,1,0,2,3,127,0,1,8,10,22,27,24,31,4,127,129,3,9,16
51,E01052,edist,2016,111,1,0,1,0,113,29,15,5,1,8,14,13,24,2,1,112,32,69,6,1,0,4,0,112,0,1,3,8,21,23,26,25,5,112,113,2,2,11
52,E01053,edist,2016,127,0,0,1,0,128,39,12,6,5,5,4,16,34,6,0,127,49,67,6,2,0,2,1,127,0,2,7,5,20,31,26,27,9,127,127,3,3,6
53,E01054,edist,2016,239,7,1,2,1,250,50,32,15,8,37,21,34,50,0,1,248,62,144,23,11,0,8,0,248,0,5,20,19,75,47,38,38,6,248,251,8,19,32
54,E02001,edist,2016,464,217,11,0,21,713,177,66,33,24,33,65,63,34,5,213,713,94,108,322,75,4,10,100,713,57,107,100,96,127,71,25,14,116,713,729,13,2,56
55,E02002,edist,2016,451,1192,36,0,7,1686,358,79,53,51,44,128,340,174,22,437,1686,156,166,993,163,43,18,147,1686,193,473,396,236,108,64,37,22,157,1686,1702,35,3,187
56,E02003,edist,2016,139,1581,8,1,16,1745,68,23,17,51,68,145,469,517,20,366,1744,127,87,1126,220,24,10,150,1744,143,585,498,261,99,26,3,1,128,1744,1775,96,31,217
57,E02004,edist,2016,897,266,30,0,16,1209,511,111,51,44,44,119,138,18,1,172,1209,214,213,525,148,6,18,85,1209,159,130,150,346,223,67,7,7,120,1209,1219,29,3,166
58,E02005,edist,2016,1222,333,22,0,23,1600,807,182,44,30,91,65,68,52,6,255,1600,259,331,713,178,8,25,86,1600,104,209,237,496,276,105,29,16,128,1600,1608,53,2,134
59,E02006,edist,2016,2163,1791,0,0,29,3983,13,60,341,301,147,560,648,1578,87,248,3983,1314,1070,1137,167,126,34,135,3983,111,458,813,447,617,795,344,198,200,3983,3995,131,5,242
60,E02007,edist,2016,893,146,0,0,4,1043,43,182,385,83,49,76,109,49,4,63,1043,338,453,180,12,4,18,38,1043,8,38,97,91,196,331,149,76,57,1043,1047,35,4,65
