,uid,zoom,year,work,lffj,unemployed,student,home_fam,retired,sick_dis,stat_other,stat_total
0,E01001,edist,2016,1542,77,487,564,241,640,337,24,3912
1,E01002,edist,2016,543,12,132,82,116,194,104,9,1192
2,E01003,edist,2016,248,1,21,41,38,50,11,3,413
3,E01004,edist,2016,413,3,125,73,80,117,35,2,848
4,E01005,edist,2016,106,2,25,39,20,32,11,0,235
5,E01006,edist,2016,149,7,21,32,29,35,10,1,284
6,E01007,edist,2016,286,6,53,47,67,74,23,1,557
7,E01008,edist,2016,304,5,78,72,62,96,36,0,653
8,E01009,edist,2016,136,1,25,26,26,27,8,2,251
9,E01010,edist,2016,122,1,10,22,21,32,11,0,219
10,E01011,edist,2016,174,0,16,34,24,27,13,1,289
11,E01012,edist,2016,404,6,60,100,66,123,44,2,805
12,E01013,edist,2016,246,3,21,47,35,59,18,3,432
13,E01014,edist,2016,289,2,42,49,44,74,32,0,532
14,E01015,edist,2016,165,3,21,46,40,46,16,1,338
15,E01016,edist,2016,161,2,15,22,22,30,12,0,264
16,E01017,edist,2016,381,7,75,76,96,181,46,1,863
17,E01018,edist,2016,221,2,17,47,31,41,14,2,375
18,E01019,edist,2016,5313,127,1147,1615,940,1309,639,36,11126
19,E01020,edist,2016,424,7,60,95,58,107,39,1,791
20,E01021,edist,2016,430,2,48,84,89,103,33,0,789
21,E01022,edist,2016,221,5,34,32,43,61,16,0,412
22,E01023,edist,2016,450,6,64,49,81,140,22,1,813
23,E01024,edist,2016,308,5,54,56,66,64,32,1,586
24,E01025,edist,2016,250,1,27,47,60,58,19,2,464
25,E01026,edist,2016,201,3,24,39,38,35,16,2,358
26,E01027,edist,2016,227,5,32,54,36,81,18,2,455
27,E01028,edist,2016,402,6,43,105,76,90,58,1,781
28,E01029,edist,2016,195,2,18,22,33,50,17,2,339
29,E01030,edist,2016,195,2,21,37,36,25,13,0,329
30,E01031,edist,2016,164,3,11,30,28,35,13,1,285
31,E01032,edist,2016,703,13,102,140,116,176,54,6,1310
32,E01033,edist,2016,255,5,35,56,59,89,26,2,527
33,E01034,edist,2016,979,29,241,183,244,358,142,7,2183
34,E01035,edist,2016,212,4,28,33,58,69,19,0,423
35,E01036,edist,2016,351,7,51,94,78,83,25,2,691
36,E01037,edist,2016,234,5,22,55,47,40,26,0,429
37,E01038,edist,2016,61,0,5,6,5,18,4,0,99
38,E01039,edist,2016,163,1,20,32,40,75,28,2,361
39,E01040,edist,2016,442,1,39,100,80,82,28,4,776
40,E01041,edist,2016,114,4,16,29,20,20,14,0,217
41,E01042,edist,2016,228,2,23,46,38,47,8,0,392
42,E01043,edist,2016,202,2,24,48,55,55,13,0,399
43,E01044,edist,2016,180,1,11,33,44,38,16,1,324
44,E01045,edist,2016,169,4,15,36,38,61,10,0,333
45,E01046,edist,2016,268,5,74,49,28,47,18,0,489
46,E01047,edist,2016,376,2,30,54,62,143,30,4,701
47,E01048,edist,2016,1482,29,381,241,257,330,205,10,2935
48,E01049,edist,2016,108,0,15,17,27,28,8,0,203
49,E01050,edist,2016,92,0,15,8,23,14,10,1,163
50,E01051,edist,2016,148,1,13,33,36,58,16,1,306
51,E01052,edist,2016,122,1,13,26,29,42,7,1,241
52,E01053,edist,2016,149,0,21,28,41,41,9,0,289
53,E01054,edist,2016,265,4,52,46,44,93,35,1,540
54,E02001,edist,2016,866,21,112,315,77,128,58,3,1580
55,E02002,edist,2016,2289,54,378,451,157,173,183,14,3699
56,E02003,edist,2016,2778,67,317,570,125,131,128,10,4126
57,E02004,edist,2016,1651,34,243,192,112,330,134,118,2814
58,E02005,edist,2016,1858,28,227,213,117,347,128,10,2928
59,E02006,edist,2016,5622,60,424,950,498,914,200,19,8687
60,E02007,edist,2016,1302,11,101,167,106,413,102,7,2209
61,E02008,edist,2016,2500,26,313,467,357,679,219,12,4573
62,E02009,edist,2016,1540,55,450,357,190,300,201,6,3099
63,E02010,edist,2016,1954,50,326,406,155,286,151,6,3334
64,E02011,edist,2016,1611,35,304,323,199,284,148,7,2911
65,E02012,edist,2016,711,5,80,141,122,446,92,6,1603
66,E02013,edist,2016,1314,18,99,354,235,805,138,25,2988
67,E02014,edist,2016,1123,15,132,180,148,381,87,7,2073
68,E02015,edist,2016,2059,53,449,371,280,213,180,11,3616
69,E02016,edist,2016,1397,86,564,422,361,383,225,16,3454
70,E02017,edist,2016,2147,118,715,709,429,597,311,12,5038
71,E02018,edist,2016,770,28,336,246,186,189,144,4,1903
72,E02019,edist,2016,635,3,40,149,120,332,42,4,1325
73,E02020,edist,2016,1049,7,83,173,172,470,56,5,2015
74,E02021,edist,2016,1011,5,72,206,193,579,56,5,2127
75,E02022,edist,2016,2074,22,188,358,242,1113,197,7,4201
76,E02023,edist,2016,1377,14,139,209,230,668,81,6,2724
77,E02024,edist,2016,980,9,79,255,130,348,60,7,1868
78,E02025,edist,2016,833,9,65,145,139,488,48,5,1732
79,E02026,edist,2016,1629,21,129,391,205,575,59,7,3016
80,E02027,edist,2016,1514,17,115,331,136,536,58,4,2711
81,E02028,edist,2016,1800,21,126,419,148,423,54,7,2998
82,E02029,edist,2016,1211,14,90,285,97,177,56,0,1930
83,E02030,edist,2016,3054,50,328,592,245,576,138,22,5005
84,E02031,edist,2016,1618,31,285,300,217,517,155,7,3130
85,E02032,edist,2016,2077,50,343,434,188,357,163,12,3624
86,E02033,edist,2016,546,16,127,125,101,241,101,4,1261
87,E02034,edist,2016,983,27,223,197,141,443,145,11,2170
88,E02035,edist,2016,1196,32,237,294,159,380,138,11,2447
89,E02036,edist,2016,1375,31,219,191,116,378,102,6,2418
90,E02037,edist,2016,1374,11,112,316,242,610,109,10,2784
