ed,mean,std
Abbey,158875.0,74612.7502508787
Abbey A,179012.5,71583.50758165115
Abbey B,125294.11764705883,106240.74354142715
Abbey C,57250.0,32968.41923214801
Abbey D,61833.333333333336,25333.114034138533
Abbey East,134500.0,707.1067811865476
Abbey West,240000.0,
Abbeydorney,115000.0,58949.13061275798
Abbeyfeale,94652.94117647059,47984.08743592841
Abbeylara,68000.0,16970.56274847714
Abbeyleix,186650.66666666666,413291.2591325908
Abbeymahon,142214.2857142857,66477.97701924622
Abbeyville,317500.0,180312.2292025696
Abington,64375.0,19405.21837032503
Achill,200000.0,
Achonry East,101000.0,
Achonry West,40000.0,
Aclare,38000.0,16970.56274847714
Adamstown,154666.66666666666,66710.8187128095
Adare North,220000.0,0.0
Adare South,402828.13636363635,353238.29432596045
Addergoole,52500.0,31819.80515339464
Adrigole,236015.5,114573.21886243748
Agha,140000.0,
Aghabog,130000.0,
Aghaboy,52166.666666666664,15782.374134880129
Aghacashel,66000.0,15099.6688705415
Aghadoe,169583.33333333334,49960.40098584745
Aghadown North,72000.0,
Aghadown South,188000.0,52886.67128870941
Aghagower North,237500.0,10606.601717798212
Aghamore,82500.0,24109.12690248239
Aghanagh,125000.0,
Aghancon,51000.0,5196.152422706632
Agharra,127500.0,54352.246197067754
Aghavas,73125.0,43845.13465976965
Aghaviller,218000.0,0.0
Aghinagh,180000.0,113137.0849898476
Aghowle,25000.0,0.0
Aglish,213521.73913043478,107724.76273322145
Ahascragh,74900.0,62239.8586116646
Aille,102250.0,56214.989104330525
Airport,171025.0,46400.02693964736
Allow,51000.0,29461.83972531247
Altnapaste,68000.0,19798.98987322333
Anglesborough,143000.0,80610.17305526642
Anketell Grove,114900.0,42412.26237776051
Annaduff,155000.0,49497.474683058324
Annagary,95454.54545454546,36712.70525680078
Annagh,99331.16666666667,66986.20774582382
Annaghdown,189904.16666666666,70976.25229716989
Annaghmore,63500.0,6304.760106459246
Anner,192500.0,0.0
Annestown,204333.33333333334,84890.12506371594
Anny,375000.0,
Arabela,104375.0,76167.98868291063
Aran,71500.0,15787.653403846945
Ardagh,85907.5,42952.751446422866
Ardagh East,117125.0,78178.25327873658
Ardagh West,129000.0,125865.00705120547
Ardamine,98466.23333333334,40603.15979014045
Ardara,130000.0,130320.11868216409
Ardbraccan,168658.33333333334,83450.41067404441
Ardcath,215538.46153846153,89775.52133387602
Ardcavan,162731.4814814815,70111.2757695115
Ardcolm,164583.33333333334,51439.689605077
Ardcrony,138333.33333333334,9309.49336251263
Ardea,155000.0,
Ardee Rural,157468.64179104476,138621.91769928494
Arderin,200000.0,
Ardfield,333333.3333333333,339423.53090693837
Ardmalin,112000.0,62016.12693485461
Ardmayle,66333.33333333333,35522.76265532661
Ardmore,407500.0,577303.6856408813
Ardmulchan,163125.0,101766.45181141826
Ardnaglew,350000.0,
Ardnagragh,120000.0,
Ardnamullan,156601.5,40710.596946179576
Ardnaree North,167875.0,91567.98801203087
Ardnaree South Rural,150634.2857142857,57838.76139171491
Ardnaree South Urban,72200.0,41462.33259236629
Ardough,220000.0,
Ardpatrick,81666.66666666667,12583.057392117918
