,county,ed,city
2489,Cork,Ballinlough B,Yes
2490,Cork,Ballinlough C,Yes
2491,Cork,Mahon C,Yes
2492,Cork,Mahon B,Yes
2499,Cork,Ballinlough A,Yes
2527,Cork,Tramore B,Yes
2534,Cork,Knockrea A,Yes
2538,Cork,Knockrea B,Yes
2542,Cork,Turner's Cross B,Yes
2567,Cork,Ballintemple,Yes
2628,Cork,Pouladuff B,Yes
2629,Cork,Pouladuff A,Yes
2630,Cork,Ballyphenane B,Yes
2632,Cork,Ballyphenane A,Yes
2652,Cork,The Lough,Yes
2667,Cork,Fair Hill B,Yes
2670,Cork,The Glen B,Yes
2672,Cork,The Glen A,Yes
2691,Cork,Mayfield,Yes
2801,Cork,Gillabbey B,Yes
2966,Cork,Bishopstown E,Yes
2968,Cork,Bishopstown B,Yes
2969,Cork,Bishopstown D,Yes
2970,Cork,Bishopstown C,Yes
3015,Cork,Bishopstown A,Yes
3068,Cork,Commons,Yes
3072,Cork,Blackpool B,Yes
3078,Cork,Farranferris A,Yes
3081,Cork,Farranferris B,Yes
3092,Cork,Blackpool A,Yes
3128,Cork,Mahon A,Yes
3169,Cork,City Hall B,Yes
3245,Cork,Sunday's Well B,Yes
3326,Cork,Shanakiel,Yes
3831,Cork,Churchfield,Yes
3844,Cork,Glasheen C,Yes
4189,Cork,Centre A,Yes
4244,Cork,Greenmount,Yes
4246,Cork,Evergreen,Yes
4248,Cork,Shandon B,Yes
4249,Cork,Gillabbey A,Yes
4252,Cork,Gurranabraher B,Yes
4256,Cork,St. Patrick's B,Yes
4258,Cork,St. Patrick's A,Yes
4260,Cork,Shandon A,Yes
4262,Cork,South Gate B,Yes
4268,Cork,Montenotte A,Yes
4276,Cork,Gillabbey C,Yes
4281,Cork,Centre B,Yes
4288,Cork,South Gate A,Yes
4291,Cork,City Hall A,Yes
4300,Cork,Turner's Cross C,Yes
4424,Cork,St. Patrick's C,Yes
4471,Cork,Tramore C,Yes
4519,Cork,Tramore A,Yes
4695,Cork,Gurranabraher C,Yes
4945,Cork,Fair Hill A,Yes
4946,Cork,Fair Hill C,Yes
4962,Cork,Farranferris C,Yes
5341,Cork,Glasheen A,Yes
5342,Cork,Glasheen B,Yes
5433,Cork,Blackpool,Yes
5451,Cork,Gurranabraher E,Yes
5454,Cork,Gurranabraher A,Yes
5465,Cork,Gurranabraher D,Yes
6286,Cork,Montenotte B,Yes
6287,Cork,Tivoli B,Yes
6646,Cork,Tivoli A,Yes
7146,Cork,Sunday's Well A,Yes
7263,Cork,Togher B,Yes
7294,Cork,Togher A,Yes
7333,Cork,Turner's Cross D,Yes
7335,Cork,Turner's Cross A,Yes
7412,Cork,Mardyke,Yes
4509,Cork,Browningstown,Yes
