,county,ed,city
2124,Cork,Corkbeg,No
2125,Cork,Kilbonane,No
2131,Cork,Ballinadee,No
2132,Cork,Ballincollig,No
2169,Cork,Ovens,No
2460,Cork,Ballymoney,No
2461,Cork,Teadies,No
2466,Cork,Kinneigh,No
2467,Cork,Bealanageary,No
2470,Cork,Dunderrow,No
2474,Cork,Ballymartle,No
2476,Cork,Ballygarvan,No
2477,Cork,Templemichael,No
2564,Cork,Ballycottin,No
2571,Cork,Kinsale Urban,No
2572,Cork,Ballydehob,No
2573,Cork,Kilcoe,No
2577,Cork,Ballybane,No
2579,Cork,Skull,No
2580,Cork,Williamstown,No
2582,Cork,Ballyfeard,No
2583,Cork,Kilpatrick,No
2592,Cork,Carrigaline,No
2602,Cork,Liscleary,No
2607,Cork,Ballyhooly,No
2610,Cork,Kilcummer,No
2620,Cork,Kilmacdonogh,No
2624,Cork,Slievereagh,No
2625,Cork,Ullanes,No
2626,Cork,Ballynoe,No
2671,Cork,Rathcooney,No
2730,Cork,Tullagh,No
2735,Cork,Skibbereen Rural,No
2750,Cork,Bandon,No
2751,Cork,Templemartin,No
2752,Cork,Ballymodan,No
2757,Cork,Knockroe,No
2758,Cork,Inishannon,No
2767,Cork,Kilbrogan,No
2794,Cork,Abbeymahon,No
2819,Cork,Baurleigh,No
2851,Cork,Butlerstown,No
2870,Cork,Brinny,No
2886,Cork,Banteer,No
2888,Cork,Gortmore,No
2892,Cork,Bantry Urban,No
2894,Cork,Sheepshead,No
2896,Cork,Seefin,No
2899,Cork,Caheragh,No
2907,Cork,Glenagarriff,No
2912,Cork,Kealkill,No
2919,Cork,Bantry Rural,No
2921,Cork,Gortnascreeny,No
2930,Cork,Glanlough,No
2939,Cork,Adrigole,No
2940,Cork,Kilcatherine,No
2942,Cork,Kilmonoge,No
2957,Cork,Bear,No
2958,Cork,Dripsey,No
2963,Cork,Kilcullen,No
2964,Cork,Gowlane,No
2983,Cork,Inishkenny,No
3142,Cork,Monkstown Urban,No
3235,Cork,Matehy,No
3237,Cork,Blarney,No
3250,Cork,Whitechurch,No
3252,Cork,St. Mary's,No
3306,Cork,Skagh,No
3307,Cork,Buttevant,No
3310,Cork,Templemary,No
3311,Cork,Doneraile,No
3312,Cork,Imphrick,No
3316,Cork,Churchtown,No
3320,Cork,Dromore,No
3325,Cork,Killeenleagh,No
3327,Cork,Cannaway,No
3407,Cork,Douglas,No
3563,Cork,Carrignavar,No
3566,Cork,Killeagh,No
3580,Cork,Carrigrohane Beg,No
3581,Cork,Carrigtohill,No
3652,Cork,Midleton Rural,No
3671,Cork,Castlelyons,No
3673,Cork,Kilcor,No
3682,Cork,Castlemagner,No
3683,Cork,Ightermurragh,No
3689,Cork,Mogeely,No
3698,Cork,Castlemartyr,No
3718,Cork,Killaconenagh,No
3719,Cork,Curryglass,No
3728,Cork,Castletownroche,No
