,county,ed
8981,Dublin,Lucan-St. Helens
8990,Dublin,Ayrfield
8996,Dublin,Harmonstown A
8998,Dublin,Beaumont B
9000,Dublin,Harmonstown B
9001,Dublin,Kilmore D
9002,Dublin,Beaumont C
9017,Dublin,Beaumont D
9020,Dublin,Clontarf West A
9081,Dublin,Clontarf East E
9232,Dublin,Ashtown A
9269,Dublin,Balbriggan Rural
9270,Dublin,Balbriggan Urban
9511,Dublin,Skerries
9639,Dublin,Clondalkin-Village
9640,Dublin,Baldoyle
9644,Dublin,Grange B
9753,Dublin,Balgriffin
9754,Dublin,Grange A
9771,Dublin,Ballinteer-Woodpark
9772,Dublin,Ballinteer-Ludford
9777,Dublin,Ballinteer-Broadford
9785,Dublin,Dundrum-Sandyford
9792,Dublin,Ballinteer-Meadowmount
9953,Dublin,Pembroke East E
9956,Dublin,Pembroke West B
9958,Dublin,Pembroke West C
9961,Dublin,Pembroke East B
9966,Dublin,Pembroke West A
9975,Dublin,Pembroke East D
9983,Dublin,Pembroke East C
10056,Dublin,Ballyboden
10058,Dublin,Edmondstown
10060,Dublin,Rathfarnham-St. Edna's
10061,Dublin,Ballybough A
10072,Dublin,Ballyboghil
10075,Dublin,Lusk
10077,Dublin,Swords-Lissenhall
10086,Dublin,Killiney South
10089,Dublin,Ballybrack
10090,Dublin,Killiney North
10094,Dublin,Cabinteely-Kilbogget
10130,Dublin,Firhouse Village
10166,Dublin,Kylemore
10168,Dublin,Kilmainham A
10169,Dublin,Decies
10170,Dublin,Carna
10171,Dublin,Cherry Orchard C
10173,Dublin,Drumfinn
10414,Dublin,Clondalkin-Ballymount
10415,Dublin,Ballymun D
10417,Dublin,Ballymun C
10424,Dublin,Ballymun B
10441,Dublin,Ballygall C
10465,Dublin,Cabinteely-Granitefield
10466,Dublin,Sutton
10467,Dublin,Beaumont F
10470,Dublin,Whitehall D
10472,Dublin,Beaumont E
10473,Dublin,Beaumont A
10521,Dublin,Dundrum-Sweetmount
10586,Dublin,Blackrock-Central
10588,Dublin,Blackrock-Carysfort
10589,Dublin,Blackrock-Monkstown
