uid,ed,ed_num
0,Ballintemple,0
4,Muinebeag Urban,1
5,Sliguff,2
11,Muinebeag Rural,3
13,Ballymoon,4
16,Fennagh,5
39,Ballon,6
40,Kilbride,7
43,Rathrush,8
52,Ballymurphy,9
53,Johnstown,10
54,Carlow Rural,11
56,Killedmond,12
57,Kyle,13
61,Borris,14
72,Ballinacarrig,15
78,Burtonhall,16
79,Graigue,17
84,Ballaghmoon,18
86,Carlow Urban,19
89,Clogrenan,20
92,Killerrig,21
101,Tullowbeg,22
117,Graigue Urban,23
121,Templepeter,24
125,Old Leighlin,25
134,Clonegall,26
137,Clonmore,27
161,Hacketstown,28
175,Grangeford,29
178,Leighlinbridge,30
182,Rathornan,31
187,Myshall,32
190,Shangarry,33
196,Agha,34
197,Nurney,35
231,Rathvilly,36
232,Rahill,37
240,Kineagh,38
247,Williamstown,39
248,Ridge,40
255,Tinnahinch,41
256,Glynn,42
259,Kellistown,43
265,Tullow Urban,44
270,Tullow Rural,45
285,Tankardstown,46
286,Rath,47
321,Haroldstown,48
334,Killinure,49
359,Arvagh,50
368,Bailieborough,51
388,Carnagarve,52
410,Kingscourt,53
411,Skeagh,54
426,Larah South,55
431,Bellananagh,56
435,Crossdoney,57
437,Cavan Urban,58
438,Drumcarban,59
442,Killykeen,60
444,Cavan Rural,61
445,Ballyconnell,62
448,Bilberry,63
457,Carn,64
460,Ardue,65
473,Drumcarn,66
474,Ballyhaise,67
484,Ballyjamesduff,68
500,Graddum,69
506,Castlerahan,70
510,Kilnaleck,71
511,Crosskeys,72
512,Lurgan,73
514,Ballymachugh,74
529,Waterloo,75
540,Bawnboy,76
541,Templeport,77
544,Kilconny,78
546,Belturbet Urban,79
559,Castlesaunderson,80
569,Tuam,81
570,Eskey,82
572,Butler's Bridge,83
577,Canningstown,84
578,Corraneary,85
579,Denn,86
580,Moynehall,87
608,Larah North,88
614,Killashandra,89
616,Virginia,90
625,Scrabby,91
629,Carrafin,92
631,Corr,93
683,Milltown,94
684,Stradone,95
757,Bruce Hall,96
762,Munterconnaught,97
765,Clonervy,98
818,Cootehill Rural,99
819,Rakenny,100
821,Cootehill Urban,101
822,Tullyvin East,102
824,Tullyvin West,103
826,Ashfield,104
856,Doogary,105
857,Dunmakeever,106
858,Derrylahan,107
859,Kilcogy,108
866,Springfield,109
876,Derrin,110
891,Enniskeen,111
896,Lisagoan,112
899,Columbkille,113
901,Mullanalaghta,114
913,Mullagh,115
914,Crossbane,116
939,Redhill,117
940,Shercock,118
943,Knappagh,119
944,Taghart,120
954,Drung,121
964,Swanlinbar,122
965,Tircahan,123
1000,Killinkere,124
1049,Termon,125
1051,Ballyglass,126
1061,Cloghera,127
1072,Caher,128
1073,Rathborney,129
1074,Drumcreehy,130
1077,Gleninagh,131
1079,Templemaley,132
1081,Abbey,133
1083,Boherglass,134
1084,Coolreagh,135
1086,Fahymore,136
1088,O'Briensbridge,137
1090,Kilseily,138
1091,Drumline,139
1093,Sixmilebridge,140
1096,Cratloe,141
1102,Derrynagittagh,142
1103,Loughea,143
1104,Cloonusker,144
1105,Moyarta,145
1106,Rahona,146
1113,Carran,147
1114,Clareabbey,148
1118,Doora,149
1137,Kiltenanlea,150
1153,Kinturk,151
1155,Corrofin,152
1156,Ruan,153
1169,Dysert,154
1175,Muckanagh,155
1178,Mountievers,156
1198,Drumellihy,157
1199,Crusheen,158
1204,Rathclooney,159
1208,Killilagh,160
1218,Doonbeg,161
1226,Killard,162
1233,Ennis Rural,163
1242,Ennis No. 2 Urban,164
1286,Kilnamona,165
1353,Spancelhill,166
1369,Killanniv,167
1460,Kilchreest,168
1518,Killone,169
1530,Killadysert,170
1695,Ennistimon,171
1698,Ballagh,172
1716,Ayle,173
1719,Breanrisk,174
1721,Ballyea,175
1722,Cloonanaha,176
1729,Kilballyowen,177
1736,Kilfenora,178
1740,Kilkee,179
1762,None,None
1777,Knocknagore,180
1784,Querrin,181
1787,Kilfearagh,182
1842,Kilkishen,183
1846,Killaloe,184
1871,Ballina,185
1883,Kilcloher,186
1886,Kilmihil,187
1891,Glenmore,188
1894,Kilrush Urban,189
1896,Kilrush Rural,190
1906,Clooncoorha,191
1908,Creegh,192
1932,Cooraclare,193
1933,Killimer,194
1934,Tullycreen,195
1936,Killofin,196
1937,Kilshanny,197
1941,Killaspugonane,198
1945,Moy,199
1950,Liscannor,200
1981,Magherareagh,201
1989,Ballysteen,202
2012,Lisdoonvarna,203
2018,Cloghaun,204
2019,Lurraga,205
2030,Clondagad,206
2033,Liscasey,207
2036,Ballycannan,208
2037,Killeely,209
2043,Ballyvaskin,210
2044,Milltown Malbay,211
2051,Annagh,212
2055,Castleconnell,213
2056,Mountshannon,214
