,uid,ed,ed_num,location
0,0,Ballintemple,0,Urban
1,4,Muinebeag Urban,1,County
2,5,Sliguff,2,County
3,11,Muinebeag Rural,3,County
4,13,Ballymoon,4,County
5,16,Fennagh,5,County
6,39,Ballon,6,County
7,40,Kilbride,7,Dublin
8,43,Rathrush,8,County
9,52,Ballymurphy,9,County
10,53,Johnstown,10,County
11,54,Carlow Rural,11,County
12,56,Killedmond,12,County
13,57,Kyle,13,County
14,61,Borris,14,County
15,72,Ballinacarrig,15,County
16,78,Burtonhall,16,County
17,79,Graigue,17,County
18,84,Ballaghmoon,18,County
19,86,Carlow Urban,19,County
20,89,Clogrenan,20,County
21,92,Killerrig,21,County
22,101,Tullowbeg,22,County
23,117,Graigue Urban,23,County
24,121,Templepeter,24,County
25,125,Old Leighlin,25,County
26,134,Clonegall,26,County
27,137,Clonmore,27,County
28,161,Hacketstown,28,County
29,175,Grangeford,29,County
30,178,Leighlinbridge,30,County
31,182,Rathornan,31,County
32,187,Myshall,32,County
33,190,Shangarry,33,County
34,196,Agha,34,County
35,197,Nurney,35,County
36,231,Rathvilly,36,County
37,232,Rahill,37,County
38,240,Kineagh,38,County
39,247,Williamstown,39,County
40,248,Ridge,40,County
41,255,Tinnahinch,41,County
42,256,Glynn,42,County
43,259,Kellistown,43,County
44,265,Tullow Urban,44,County
45,270,Tullow Rural,45,County
46,285,Tankardstown,46,County
47,286,Rath,47,County
48,321,Haroldstown,48,County
49,334,Killinure,49,County
50,359,Arvagh,50,County
51,368,Bailieborough,51,County
52,388,Carnagarve,52,County
53,410,Kingscourt,53,County
54,411,Skeagh,54,County
55,426,Larah South,55,County
56,431,Bellananagh,56,County
57,435,Crossdoney,57,County
58,437,Cavan Urban,58,County
59,438,Drumcarban,59,County
60,442,Killykeen,60,County
61,444,Cavan Rural,61,County
62,445,Ballyconnell,62,County
63,448,Bilberry,63,Urban
64,457,Carn,64,County
65,460,Ardue,65,County
66,473,Drumcarn,66,County
67,474,Ballyhaise,67,County
68,484,Ballyjamesduff,68,County
69,500,Graddum,69,County
70,506,Castlerahan,70,County
71,510,Kilnaleck,71,County
72,511,Crosskeys,72,County
73,512,Lurgan,73,County
74,514,Ballymachugh,74,County
75,529,Waterloo,75,County
76,540,Bawnboy,76,County
77,541,Templeport,77,County
78,544,Kilconny,78,County
79,546,Belturbet Urban,79,County
80,559,Castlesaunderson,80,County
81,569,Tuam,81,County
82,570,Eskey,82,County
83,572,Butler's Bridge,83,County
84,577,Canningstown,84,County
85,578,Corraneary,85,County
86,579,Denn,86,County
87,580,Moynehall,87,County
88,608,Larah North,88,County
89,614,Killashandra,89,County
90,616,Virginia,90,County
91,625,Scrabby,91,County
92,629,Carrafin,92,County
93,631,Corr,93,County
94,683,Milltown,94,County
95,684,Stradone,95,County
96,757,Bruce Hall,96,County
97,762,Munterconnaught,97,County
98,765,Clonervy,98,County
99,818,Cootehill Rural,99,County
100,819,Rakenny,100,County
101,821,Cootehill Urban,101,County
102,822,Tullyvin East,102,County
103,824,Tullyvin West,103,County
104,826,Ashfield,104,County
105,856,Doogary,105,County
106,857,Dunmakeever,106,County
107,858,Derrylahan,107,County
108,859,Kilcogy,108,County
109,866,Springfield,109,County
110,876,Derrin,110,County
111,891,Enniskeen,111,County
112,896,Lisagoan,112,County
113,899,Columbkille,113,County
114,901,Mullanalaghta,114,County
115,913,Mullagh,115,County
116,914,Crossbane,116,County
117,939,Redhill,117,County
118,940,Shercock,118,County
119,943,Knappagh,119,County
120,944,Taghart,120,County
121,954,Drung,121,County
122,964,Swanlinbar,122,County
123,965,Tircahan,123,County
124,1000,Killinkere,124,County
125,1049,Termon,125,County
126,1051,Ballyglass,126,County
127,1061,Cloghera,127,County
128,1072,Caher,128,County
129,1073,Rathborney,129,County
130,1074,Drumcreehy,130,County
131,1077,Gleninagh,131,County
132,1079,Templemaley,132,County
133,1081,Abbey,133,County
134,1083,Boherglass,134,County
135,1084,Coolreagh,135,County
136,1086,Fahymore,136,County
137,1088,O'Briensbridge,137,County
138,1090,Kilseily,138,County
139,1091,Drumline,139,County
140,1093,Sixmilebridge,140,County
141,1096,Cratloe,141,County
142,1102,Derrynagittagh,142,County
143,1103,Loughea,143,County
144,1104,Cloonusker,144,County
145,1105,Moyarta,145,County
146,1106,Rahona,146,County
147,1113,Carran,147,County
148,1114,Clareabbey,148,County
149,1118,Doora,149,County
150,1137,Kiltenanlea,150,County
151,1153,Kinturk,151,County
152,1155,Corrofin,152,County
153,1156,Ruan,153,County
154,1169,Dysert,154,County
155,1175,Muckanagh,155,County
156,1178,Mountievers,156,County
157,1198,Drumellihy,157,County
158,1199,Crusheen,158,County
159,1204,Rathclooney,159,County
160,1208,Killilagh,160,County
161,1218,Doonbeg,161,County
162,1226,Killard,162,County
163,1233,Ennis Rural,163,County
164,1242,Ennis No. 2 Urban,164,County
165,1286,Kilnamona,165,County
166,1353,Spancelhill,166,County
167,1369,Killanniv,167,County
168,1460,Kilchreest,168,County
169,1518,Killone,169,County
170,1530,Killadysert,170,County
171,1695,Ennistimon,171,County
172,1698,Ballagh,172,County
173,1716,Ayle,173,County
174,1719,Breanrisk,174,County
175,1721,Ballyea,175,County
176,1722,Cloonanaha,176,County
177,1729,Kilballyowen,177,County
178,1736,Kilfenora,178,County
179,1740,Kilkee,179,County
180,1762,None,None,County
181,1777,Knocknagore,180,County
182,1784,Querrin,181,County
183,1787,Kilfearagh,182,County
184,1842,Kilkishen,183,County
185,1846,Killaloe,184,County
186,1871,Ballina,185,County
