,county,ed,city
28472,Galway,Ballybaan,Yes
28473,Galway,Mervue,Yes
28496,Galway,Ballybrit,Yes
28524,Galway,Barna,Yes
28528,Galway,Knocknacarragh,Yes
28554,Galway,St Nicholas,Yes
28573,Galway,Claddagh,Yes
28746,Galway,Nun's Island,Yes
28750,Galway,Murrough,Yes
28751,Galway,Eyre Square,Yes
28758,Galway,Shantalla,Yes
28761,Galway,Taylor's Hill,Yes
28790,Galway,Menlough,Yes
28821,Galway,Dangan,Yes
28909,Galway,Castlegar,Yes
29207,Galway,Wellpark,Yes
29245,Galway,Newcastle,Yes
29463,Galway,Rahoon,Yes
29493,Galway,Renmore,Yes
29514,Galway,Lough Atalia,Yes
29600,Galway,Salthill,Yes
29605,Galway,Rockbarton,Yes
