,county,ed,city
28252,Galway,Abbey East,No
28254,Galway,Ryehill,No
28255,Galway,Clonbrock,No
28256,Galway,Annaghdown,No
28257,Galway,Skehanagh,No
28258,Galway,Castletaylor,No
28259,Galway,Ballygarraun,No
28262,Galway,Ardrahan,No
28263,Galway,Cahermore,No
28266,Galway,Athenry,No
28268,Galway,Tuam Rural,No
28282,Galway,Kiltullagh,No
28289,Galway,Loughrea Rural,No
28302,Galway,Tiaquin,No
28305,Galway,Aughrim,No
28307,Galway,Belleville,No
28308,Galway,Cloonkeen,No
28309,Galway,Greethill,No
28345,Galway,Ballinasloe Urban,No
28346,Galway,Killaan,No
28353,Galway,Kilquain,No
28355,Galway,Derrew,No
28363,Galway,Mount Bellew,No
28374,Galway,Derryglassaun,No
28377,Galway,Annagh,No
28379,Galway,Eyrecourt,No
28383,Galway,Killimor,No
28386,Galway,Laurencetown,No
28400,Galway,Oatfield,No
28401,Galway,Killure,No
28403,Galway,Ahascragh,No
28411,Galway,Lismanny,No
28416,Galway,Caltra,No
28418,Galway,Ballinasloe Rural,No
28427,Galway,Kiltormer,No
28428,Galway,Shankill,No
28429,Galway,Clonbern,No
28433,Galway,Cappalusk,No
28448,Galway,Kilconnell,No
28450,Galway,Kellysgrove,No
28455,Galway,Culliagh,No
28470,Galway,Drumacoo,No
28509,Galway,Bunowen,No
28513,Galway,Doonloughan,No
28516,Galway,Killeroran,No
28519,Galway,Castleffrench,No
28561,Galway,Raford,No
28562,Galway,Beaghmore,No
28563,Galway,Kilcoona,No
28564,Galway,Knockboy,No
28567,Galway,Carnmore,No
28568,Galway,Crumpaun,No
28569,Galway,Moyrus,No
28570,Galway,Kilcummin,No
28571,Galway,Ballintemple,No
28576,Galway,Carrowbrowne,No
28577,Galway,Claregalway,No
28579,Galway,Liscananaun,No
28600,Galway,Lisheenavalla,No
28613,Galway,Lackaghbeg,No
28618,Galway,Clarinbridge,No
28619,Galway,Stradbally,No
28627,Galway,Cleggan,No
28629,Galway,Clifden,No
28633,Galway,Derrylea,No
28659,Galway,Cloonbur,No
28663,Galway,Cong,No
28664,Galway,Ballinderry,No
28665,Galway,Cummer,No
28672,Galway,Killower,No
28673,Galway,Ballinduff,No
28682,Galway,Sailearna,No
28683,Galway,Craughwell,No
28684,Galway,Kilconierin,No
28691,Galway,Killeely,No
28694,Galway,Kilconickny,No
28703,Galway,Moyode,No
28704,Galway,Glennamaddy,No
28723,Galway,Dunmore South,No
28724,Galway,Doonbally,No
28726,Galway,Addergoole,No
28743,Galway,Furbo,No
28838,Galway,Raheen,No
28839,Galway,Ballinastack,No
28843,Galway,Gort,No
28849,Galway,Loughrea Urban,No
28850,Galway,Kiltartan,No
28858,Galway,Beagh,No
28866,Galway,Rinvyle,No
28874,Galway,Killallaghtan,No
28875,Galway,Ballymacward,No
28878,Galway,Killinny,No
28886,Galway,Headford,No
28888,Galway,Killursa,No
28891,Galway,Killeany,No
28902,Galway,Shrule,No
28917,Galway,,No
28918,Galway,Ãrainn,No
28919,Galway,Cill AinnÃ­n,No
28943,Galway,Killeenavarra,No
28947,Galway,Bullaun,No
28951,Galway,Kinvarra,No
28959,Galway,Doorus,No
29081,Galway,Ballynakill,No
29083,Galway,Gorumna,No
29086,Galway,Mountain,No
29109,Galway,Kilchreest,No
29117,Galway,Lackalea,No
29152,Galway,Leitrim,No
29157,Galway,Castleboy,No
29160,Galway,Aille,No
29163,Galway,Kilteskill,No
29170,Galway,Kilreekill,No
29216,Galway,Monivea,No
29217,Galway,Abbey West,No
29222,Galway,Castleblakeney,No
29232,Galway,Tullokyne,No
29234,Galway,Moycullen,No
29252,Galway,Sliabh an Aonaigh,No
29272,Galway,Cooloo,No
29306,Galway,Oranmore,No
29423,Galway,Oughterard,No
29428,Galway,Wormhole,No
29445,Galway,Cappard,No
29448,Galway,Portumna,No
29453,Galway,Kilmalinoge,No
29462,Galway,Pallas,No
29592,Galway,Turlough,No
29597,Galway,Roundstone,No
29714,Galway,Spiddal,No
29727,Galway,Claretuam,No
29744,Galway,Kilmoylan,No
29747,Galway,Foxhall,No
29759,Galway,Killeen,No
29762,Galway,Ballynapark,No
29765,Galway,Belclare,No
29813,Galway,Deerpark,No
29834,Galway,Kilcroan,No
29835,Galway,Island,No
29840,Galway,Drummaan,No
29845,Galway,Templetogher,No
29846,Galway,Woodford,No
