,county,ed,city
36206,Limerick,Abbey B,Yes
36227,Limerick,Clarina,Yes
36235,Limerick,Ballyvarra,Yes
36236,Limerick,Ballysimon,Yes
36257,Limerick,Singland B,Yes
36300,Limerick,Shannon B,Yes
36324,Limerick,Ballinacurra B,Yes
36325,Limerick,John's B,Yes
36326,Limerick,Dock C,Yes
36337,Limerick,Roxborough,Yes
36340,Limerick,Ballycummin,Yes
36423,Limerick,Limerick North Rural,Yes
36455,Limerick,Castleconnell,Yes
36611,Limerick,Coolraine,Yes
36618,Limerick,Ballynanty,Yes
36624,Limerick,Carrig,Yes
36636,Limerick,Abbey A,Yes
36685,Limerick,Patrickswell,Yes
36822,Limerick,Castle A,Yes
36825,Limerick,Castle C,Yes
36827,Limerick,Farranshone,Yes
36835,Limerick,Castle B,Yes
36841,Limerick,Castle D,Yes
36864,Limerick,Singland A,Yes
36865,Limerick,Abbey D,Yes
36892,Limerick,Glentworth B,Yes
36970,Limerick,Glentworth C,Yes
36971,Limerick,Shannon A,Yes
36974,Limerick,Prospect A,Yes
36975,Limerick,Market,Yes
36977,Limerick,Dock D,Yes
36981,Limerick,Dock A,Yes
36985,Limerick,Ballinacurra A,Yes
36986,Limerick,Dock B,Yes
36991,Limerick,St. Laurence,Yes
37002,Limerick,Rathbane,Yes
37012,Limerick,Galvone A,Yes
37021,Limerick,Glentworth A,Yes
37023,Limerick,Prospect B,Yes
37032,Limerick,Abbey C,Yes
37039,Limerick,John's C,Yes
37043,Limerick,Custom House,Yes
37120,Limerick,Limerick South Rural,Yes
37608,Limerick,Killeely B,Yes
