,county,ed,city
36185,Limerick,Abbeyfeale,No
36186,Limerick,Dromtrasna,No
36197,Limerick,Moynsha,No
36205,Limerick,Adare South,No
36212,Limerick,Dromard,No
36213,Limerick,Adare North,No
36229,Limerick,Dunnaman,No
36278,Limerick,Ballyglass,No
36287,Limerick,Kilscannell,No
36288,Limerick,Ardagh,No
36291,Limerick,Knockaderry,No
36297,Limerick,Ardpatrick,No
36298,Limerick,Kilcornan,No
36299,Limerick,Askeaton West,No
36301,Limerick,Askeaton East,No
36305,Limerick,Croagh,No
36307,Limerick,Nantinan,No
36308,Limerick,Aughinish,No
36313,Limerick,Lismakeery,No
36314,Limerick,Iveruss,No
36315,Limerick,Rathronan,No
36322,Limerick,Ballintober,No
36328,Limerick,Ballingarry,No
36335,Limerick,Cloncagh,No
36336,Limerick,Ballynoe,No
36342,Limerick,Mohernagh,No
36343,Limerick,Dunmoylan West,No
36344,Limerick,Darragh,No
36347,Limerick,Ballybricken,No
36369,Limerick,Broadford,No
36371,Limerick,Mountplummer,No
36375,Limerick,Bruff,No
36376,Limerick,Knockainy,No
36377,Limerick,Crean,No
36381,Limerick,Grange,No
36392,Limerick,Uregare,No
36401,Limerick,Rockhill,No
36402,Limerick,Bruree,No
36406,Limerick,Coolrus,No
36408,Limerick,Colmanswell,No
36409,Limerick,Caherconlish West,No
36414,Limerick,Kilmurry,No
36444,Limerick,Cappamore,No
36447,Limerick,Doon West,No
36476,Limerick,Mahoonagh,No
36679,Limerick,Kilpeacon,No
36682,Limerick,Crecora,No
36691,Limerick,Ballynabanoge,No
36692,Limerick,Abbeyville,No
36694,Limerick,Croom,No
36703,Limerick,Doon South,No
36708,Limerick,Glengar,No
36819,Limerick,Tobernea,No
36842,Limerick,Fedamore,No
36847,Limerick,Feenagh,No
36848,Limerick,Dromcolliher,No
36853,Limerick,Shanagolden,No
36861,Limerick,Galbally,No
36862,Limerick,Riversdale,No
36863,Limerick,Duntryleague,No
36866,Limerick,Glin,No
36868,Limerick,Kilfergus,No
36883,Limerick,Hospital,No
36897,Limerick,Kildimo,No
36899,Limerick,Ballynacarriga,No
36909,Limerick,Kilfinnane,No
36911,Limerick,Kilflyn,No
36916,Limerick,Kilmallock,No
36918,Limerick,Emlygrennan,No
36922,Limerick,Bulgaden,No
36928,Limerick,Templemolaga,No
36931,Limerick,Anglesborough,No
36938,Limerick,Dromin,No
36940,Limerick,Ballymacshaneboy,No
36943,Limerick,Glenbrohane,No
36944,Limerick,Ballyagran,No
36959,Limerick,Kilmeedy,No
36960,Limerick,Kilteely,No
36967,Limerick,Knocklong,No
37381,Limerick,Rathmore,No
37382,Limerick,Monagay,No
37389,Limerick,Caher,No
37390,Limerick,Mountcollins,No
37401,Limerick,Glenstal,No
37403,Limerick,Abington,No
37404,Limerick,Clonkeen,No
37411,Limerick,Newcastle Rural,No
37458,Limerick,Oola,No
37462,Limerick,Templebredon,No
37465,Limerick,Grean,No
37466,Limerick,Caherconlish East,No
37474,Limerick,Pallaskenry,No
37476,Limerick,Castletown,No
37554,Limerick,Rathkeale Urban,No
37569,Limerick,Ballyallinan,No
37585,Limerick,Shanid,No
37602,Limerick,Templeglentan,No
37609,Limerick,Glengort,No
