,county,ed,city
46118,Waterford,Grange South,Yes
46119,Waterford,Farranshoneen,Yes
46126,Waterford,Ballybeg South,Yes
46127,Waterford,Killoteran,Yes
46130,Waterford,Tramore,Yes
46153,Waterford,Faithlegg,Yes
46324,Waterford,Killea,Yes
46326,Waterford,Rathmoylan,Yes
46357,Waterford,Ferrybank,Yes
46372,Waterford,Grange Upper,Yes
46378,Waterford,Newtown,Yes
46501,Waterford,Drumcannon,Yes
46502,Waterford,Islandikane,Yes
46520,Waterford,Ballintruckle,Yes
46659,Waterford,Pembrokestown,Yes
46717,Waterford,Gracedieu,Yes
46718,Waterford,Poleberry,Yes
46721,Waterford,Park,Yes
46726,Waterford,Military Road,Yes
46728,Waterford,Slievekeale,Yes
46729,Waterford,Cleaboy,Yes
46731,Waterford,Ballybeg North,Yes
46735,Waterford,Ticor South,Yes
46739,Waterford,Grange North,Yes
46745,Waterford,Mount Sion,Yes
46747,Waterford,Ballynakill,Yes
46750,Waterford,Lisduggan,Yes
46754,Waterford,Ticor North,Yes
46755,Waterford,Kilbarry,Yes
46761,Waterford,The Glen,Yes
46775,Waterford,Ballymaclode,Yes
46785,Waterford,Roanmore,Yes
46789,Waterford,Centre A,Yes
46791,Waterford,Shortcourse,Yes
46799,Waterford,Morrison's Road,Yes
46802,Waterford,Kingsmeadow,Yes
46818,Waterford,Morrison's Avenue East,Yes
46949,Waterford,Ballybricken,Yes
46956,Waterford,Bilberry,Yes
46981,Waterford,Woodstown,Yes
47012,Waterford,Larchville,Yes
47019,Waterford,Newport's Square,Yes
47034,Waterford,Custom House A,Yes
47067,Waterford,Morrison's Avenue West,Yes
47158,Waterford,Centre B,Yes
47289,Waterford,Custom House B,Yes
