,county,ed,city
46096,Waterford,Keereen,No
46097,Waterford,Dromana,No
46098,Waterford,Annestown,No
46100,Waterford,Ardmore,No
46101,Waterford,Grange,No
46112,Waterford,Seskinan,No
46113,Waterford,Reisk,No
46114,Waterford,Knockmourne,No
46115,Waterford,Ballyduff,No
46116,Waterford,Castlerichard,No
46117,Waterford,Gortnapeaky,No
46120,Waterford,Ballylaneen,No
46121,Waterford,Graignagower,No
46124,Waterford,Knockmahon,No
46131,Waterford,Whitechurch,No
46132,Waterford,Carriglea,No
46133,Waterford,Dromore,No
46134,Waterford,Cappoquin,No
46150,Waterford,Ross,No
46151,Waterford,Fenoagh,No
46152,Waterford,Glen,No
46155,Waterford,Clashmore,No
46156,Waterford,Grallagh,No
46158,Waterford,Ballyheeny,No
46160,Waterford,Clonea,No
46162,Waterford,Dungarvan No 1 Urban,No
46163,Waterford,Dungarvan Rural,No
46164,Waterford,Dungarvan No 2 Urban,No
46166,Waterford,,No
46175,Waterford,Ringville,No
46263,Waterford,Colligan,No
46281,Waterford,Bohadoon,No
46293,Waterford,Cappagh,No
46348,Waterford,Kilculliheen,No
46376,Waterford,Kilbarrymeaden,No
46379,Waterford,Gardenmorris,No
46380,Waterford,Kilmacthomas,No
46381,Waterford,Fews,No
46384,Waterford,Georgestown,No
46385,Waterford,Foxâs Castle,No
46391,Waterford,Kilmeadan,No
46398,Waterford,Kinsalebeg,No
46399,Waterford,Templemichael,No
46401,Waterford,Comeragh,No
46404,Waterford,Mountkennedy,No
46405,Waterford,Lismore Urban,No
46408,Waterford,Lismore Rural,No
46425,Waterford,Ballymacart,No
46432,Waterford,Ballyhack,No
46435,Waterford,Portlaw,No
46456,Waterford,Stradbally,No
46465,Waterford,Tallow,No
46468,Waterford,Kilcockan,No
46469,Waterford,Kilwatermoy West,No
47416,Waterford,Portnascully,No
